,0,1,2,3,4,5,6,7
HST-KLS0795-2892379,0.0062,0.0084,0.0038,0.0032,0.0072,0.0086,0.0026,0.96
HST-KLS0804-2892392,0.0056,0.007,0.003,0.0032,0.007,0.0068,0.0026,0.9648
HST-KLS0843-2892452,0.007,0.0094,0.0036,0.0034,0.0108,0.0102,0.0032,0.9524
HST-KLS0847-2892542,0.0152,0.0282,0.0062,0.0068,0.0264,0.0314,0.0024,0.8833
HST-KLS0858-2892456,0.0054,0.0072,0.0044,0.0122,0.0066,0.007,0.0014,0.9558
HST-KLS0883-2892509,0.007,0.0062,0.0036,0.0088,0.0056,0.0066,0.0026,0.9596
HST-KLS0923-2892400,0.0058,0.0078,0.0034,0.0086,0.0082,0.0076,0.0016,0.957
HST-KLS0938-2892388,0.0056,0.0068,0.0032,0.0022,0.0064,0.0058,0.0022,0.9678
HST-KLS0983-2892406,0.0046,0.0062,0.0028,0.0036,0.006,0.006,0.0016,0.9692
HST-KLS0986-2892407,0.006,0.0048,0.0092,0.0064,0.005,0.005,0.0026,0.961
HST-KLS1273-2892431,0.0042,0.0036,0.0028,0.0046,0.0038,0.0038,0.0016,0.9756
HST-KLS1274-2892410,0.0088,0.0066,0.0036,0.0058,0.0084,0.0092,0.0018,0.9558
HST-VU116-2892391,0.0028,0.0028,0.0032,0.002,0.003,0.003,0.0382,0.945
HST-KLS0559-2892377,0.0012,0.0014,0.0012,0.0122,0.0012,0.0012,0.0166,0.965
HST-KLS1173-2892444,0.0074,0.0074,0.0042,0.0042,0.0068,0.0078,0.0016,0.9606
HST-KLS1182-2892449,0.0052,0.0066,0.0036,0.0034,0.007,0.0078,0.0034,0.963
HST-KLS1200-2892434,0.0016,0.002,0.0016,0.0148,0.0014,0.0016,0.02,0.957
HST-KLS1206-3593330,0.005,0.0046,0.0038,0.0098,0.0054,0.005,0.0016,0.9648
HST-KLS1227-2892412,0.0064,0.0082,0.0042,0.0036,0.008,0.0084,0.0024,0.9588
HST-KLS1515-3593385,0.0056,0.0066,0.0028,0.0032,0.007,0.0066,0.0016,0.9666
HST-KLS1517-3593355,0.007,0.0074,0.0048,0.004,0.0062,0.0078,0.0026,0.9602
HST-KLS1528-3593321,0.0074,0.0086,0.005,0.0028,0.0086,0.0084,0.0022,0.957
HST-KLS1541-3593313,0.0062,0.0072,0.0032,0.0026,0.0066,0.0072,0.0016,0.9654
HST-KLS1544-3593344,0.005,0.0056,0.0038,0.0028,0.0048,0.006,0.0068,0.9652
HST-KLS1556-3593324,0.0054,0.007,0.0032,0.0032,0.0068,0.0056,0.0028,0.966
HST-SS170814-01-2562208,0.0124,0.0184,0.0042,0.0036,0.0136,0.0132,0.0022,0.9324
HST-SS170820-02-2892469,0.0054,0.0062,0.0036,0.0038,0.0058,0.0058,0.0034,0.966
