,0,1,2,3,4,5,6,7,8,9
HMA-R37138-2117766,0.0044,0.0018,0.002,0.0019,0.0025,0.9781,0.0016,0.0036,0.002,0.0021
HMA-NC_166-2117725,0.0001,0.0026,0.0002,0.0001,0.0001,0.0003,0.0005,0.0001,0.001,0.995
HMA-NC_167-2117726,0.0006,0.0004,0.0014,0.0008,0.0033,0.005,0.0013,0.002,0.0009,0.9843
HMA-NC_169-2117729,0.0001,0.0,0.0005,0.0,0.0,0.0004,0.0002,0.0002,0.0001,0.9985
HMA-NC_173-2117703,0.0009,0.0009,0.0012,0.0009,0.0014,0.001,0.003,0.001,0.0002,0.9895
HMA-NC_174-2117743,0.0001,0.0002,0.0008,0.0004,0.0012,0.0009,0.0007,0.0008,0.0009,0.994
HMA-NC_176-2117714,0.0002,0.0,0.0003,0.0001,0.0006,0.0005,0.0003,0.0004,0.0008,0.9968
HMA-NC_179-2117695,0.0006,0.0009,0.0007,0.0008,0.0052,0.002,0.0005,0.0011,0.0015,0.9867
HMA-NC_180-2117713,0.001,0.001,0.0103,0.001,0.0017,0.0033,0.0023,0.0042,0.0008,0.9744
HMA-NC_181-2117711,0.0004,0.0,0.0004,0.0004,0.0004,0.001,0.0006,0.001,0.0004,0.9954
HMA-NC_189-2117710,0.001,0.0032,0.0126,0.0012,0.0028,0.0037,0.0013,0.002,0.0032,0.969
HMA-KLS1514-3593378,0.0271,0.001,0.0012,0.0014,0.0045,0.0029,0.0045,0.9395,0.0167,0.0012
HMA-KLS1522-3593369,0.002,0.001,0.0019,0.0017,0.001,0.0169,0.0374,0.9341,0.0015,0.0025
HMA-KLS1538-3593349,0.0034,0.0011,0.0027,0.0023,0.0019,0.008,0.0109,0.9678,0.0009,0.001
HMA-KLS1553-3593325,0.0023,0.0011,0.0017,0.0173,0.0013,0.0036,0.0031,0.9673,0.0011,0.0012
HMA-KLS1554-3593316,0.0322,0.0011,0.0022,0.0011,0.0008,0.0034,0.0023,0.9529,0.0026,0.0014
HMA-SS170809_02-2117728,0.006,0.001,0.004,0.0044,0.001,0.0047,0.0031,0.973,0.0017,0.0011
HMA-SS170820_01-2117747,0.0079,0.001,0.001,0.0148,0.0017,0.0056,0.008,0.9546,0.0044,0.001
HMA-SS171024_01-2117723,0.0067,0.001,0.0016,0.002,0.0011,0.0128,0.1915,0.7776,0.0028,0.0029
HMA-VU55-2117702,0.0046,0.0024,0.0012,0.0031,0.0079,0.0043,0.1591,0.8152,0.0009,0.0013
HMA-VU61-2117705,0.0012,0.0012,0.0124,0.0012,0.0011,0.0624,0.0044,0.9004,0.0068,0.0089
HMA-KLS1692-4013432,0.5588,0.0009,0.0013,0.0275,0.0013,0.0021,0.0057,0.395,0.0049,0.0025
HMA-KLS1694-4013434,0.4938,0.001,0.0012,0.0524,0.001,0.004,0.0091,0.4351,0.0008,0.0016
HMA-KLS1697-4013437,0.4625,0.001,0.0023,0.1871,0.0008,0.0018,0.0025,0.3398,0.001,0.0012
HMA-KLS1699-4013439,0.3591,0.001,0.0017,0.2295,0.0009,0.0025,0.0031,0.3934,0.0073,0.0015
HMA-KLS1703-4013443,0.5645,0.0065,0.001,0.1594,0.0017,0.0016,0.0021,0.2602,0.0015,0.0015
HMA-KLS1705-4013445,0.5161,0.001,0.001,0.1336,0.0006,0.0011,0.0045,0.3401,0.0011,0.001
HMA-KLS1711-4013451,0.4218,0.0009,0.0008,0.0939,0.0006,0.0016,0.0128,0.4656,0.001,0.001
HMA-R154981-2117752,0.0004,0.0,0.0001,0.997,0.0007,0.0004,0.0,0.001,0.0,0.0004
HMA-WAM-R154978-2562207,0.5142,0.0009,0.0016,0.1829,0.0218,0.002,0.0464,0.2284,0.0009,0.001
HMA-WAM-R154981-2562169,0.0001,0.0,0.0001,0.9993,0.0001,0.0,0.0,0.0001,0.0,0.0003
HMA-WAMR154978-2117736,0.6774,0.0011,0.0024,0.0024,0.0996,0.0015,0.2106,0.0017,0.0012,0.0021
HMA-J87200-2117846,0.0012,0.001,0.0047,0.0058,0.4814,0.2556,0.0026,0.0051,0.0022,0.2404
HMA-J87202-2117845,0.0009,0.0011,0.0213,0.001,0.4221,0.266,0.0041,0.0059,0.0017,0.2759
HMA-J88474-2117828,0.0013,0.0065,0.0011,0.0048,0.0303,0.6877,0.0013,0.0018,0.0316,0.2336
HMA-J89073-2117861,0.001,0.0013,0.0012,0.0011,0.887,0.1001,0.0013,0.0015,0.0011,0.0044
