,0,1,2,3,4,5
HST-KLS1182-2892449,0.0074,0.007,0.0086,0.9636,0.0072,0.0062
HST-KLS1200-2892434,0.0088,0.009,0.009,0.9576,0.0078,0.0078
HST-KLS1206-3593330,0.007,0.0064,0.0074,0.9648,0.0074,0.007
HST-KLS1227-2892412,0.0076,0.0078,0.009,0.9588,0.0084,0.0084
HST-KLS1515-3593385,0.0064,0.0064,0.0068,0.9664,0.0076,0.0064
HST-KLS1517-3593355,0.009,0.0076,0.008,0.9592,0.0076,0.0086
HST-KLS1528-3593321,0.0092,0.0084,0.0082,0.957,0.0088,0.0084
HST-KLS1541-3593313,0.006,0.0074,0.007,0.9664,0.0062,0.007
HST-KLS1544-3593344,0.0076,0.007,0.0074,0.9644,0.007,0.0066
HST-KLS1556-3593324,0.0072,0.007,0.0066,0.9652,0.0064,0.0076
HST-SS170814-01-2562208,0.0116,0.0146,0.0166,0.9302,0.014,0.013
HST-SS170820-02-2892469,0.0074,0.0074,0.0064,0.9652,0.0068,0.0068
