,0,1,2,3,4,5,6
HST-KLS0794-2562199,0.9646,0.0068,0.0068,0.0052,0.0064,0.0044,0.0058
HST-KLS0795-2892379,0.9626,0.0076,0.0066,0.0044,0.0066,0.0052,0.007
HST-KLS0804-2892392,0.9632,0.0074,0.006,0.0054,0.0068,0.0048,0.0064
HST-KLS0843-2892452,0.9546,0.0088,0.0078,0.0088,0.0074,0.0056,0.007
HST-KLS0847-2892542,0.8862,0.0308,0.018,0.013,0.0196,0.0084,0.024
HST-KLS0858-2892456,0.9546,0.0086,0.0078,0.0062,0.0094,0.005,0.0084
HST-KLS0883-2892509,0.9592,0.0084,0.0082,0.0046,0.0076,0.005,0.007
HST-KLS0923-2892400,0.9552,0.0084,0.0084,0.0056,0.009,0.0054,0.008
HST-KLS0938-2892388,0.9684,0.0062,0.0058,0.0046,0.0064,0.0034,0.0052
HST-KLS0983-2892406,0.9686,0.0064,0.0056,0.004,0.0056,0.004,0.0058
HST-KLS0986-2892407,0.963,0.0064,0.0062,0.005,0.0062,0.007,0.0062
HST-KLS1273-2892431,0.9732,0.0048,0.0046,0.0044,0.0054,0.0036,0.004
HST-KLS1274-2892410,0.9602,0.0074,0.008,0.005,0.0076,0.0054,0.0064
HST-VU116-2892391,0.9456,0.0076,0.0068,0.016,0.0066,0.0092,0.0082
HST-KLS0559-2892377,0.9628,0.0048,0.0048,0.0144,0.0048,0.0044,0.004
HST-KLS1173-2892444,0.9592,0.0072,0.0076,0.0052,0.0072,0.0054,0.0082
HST-KLS1182-2892449,0.9626,0.0066,0.0058,0.0056,0.0074,0.0052,0.0068
HST-KLS1200-2892434,0.956,0.0058,0.0058,0.0158,0.0056,0.0044,0.0066
HST-KLS1206-3593330,0.967,0.0064,0.0056,0.0044,0.0064,0.0048,0.0054
HST-KLS1227-2892412,0.96,0.0084,0.007,0.005,0.0072,0.005,0.0074
HST-KLS1515-3593385,0.9656,0.0064,0.0058,0.0046,0.0066,0.0044,0.0066
HST-KLS1517-3593355,0.9564,0.0082,0.0082,0.0052,0.009,0.0052,0.0078
HST-KLS1528-3593321,0.9578,0.008,0.0074,0.0062,0.0078,0.0048,0.008
HST-KLS1541-3593313,0.965,0.0066,0.0056,0.0046,0.007,0.0044,0.0068
HST-KLS1544-3593344,0.9652,0.0058,0.006,0.005,0.0054,0.0058,0.0068
HST-KLS1556-3593324,0.964,0.0068,0.0066,0.0056,0.0066,0.0042,0.0062
HST-SS170814-01-2562208,0.932,0.0158,0.0128,0.008,0.012,0.0072,0.0122
HST-SS170820-02-2892469,0.9664,0.006,0.006,0.005,0.006,0.0048,0.0058
