,0,1,2,3,4,5,6,7,8
HST-KLS1662-4013403,0.0066,0.002,0.9604,0.0062,0.0058,0.007,0.0014,0.0036,0.007
HST-KLS1665-4013406,0.0056,0.0064,0.9582,0.0054,0.0056,0.0054,0.0044,0.0028,0.0062
HST-KLS1666-4013407,0.0068,0.0014,0.956,0.0068,0.008,0.007,0.0022,0.0048,0.007
HST-KLS1667-4013408,0.002,0.028,0.9556,0.0022,0.0048,0.002,0.001,0.002,0.0024
HST-KLS1668-4013409,0.0098,0.0026,0.951,0.0066,0.0074,0.0092,0.0014,0.0046,0.0074
HST-KLS1669-4013410,0.006,0.0034,0.9504,0.0064,0.0066,0.006,0.0034,0.0106,0.0072
HST-KLS1670-4013411,0.0072,0.0014,0.9598,0.0064,0.006,0.0054,0.0034,0.0046,0.0058
HST-KLS1671-4013412,0.0056,0.0018,0.962,0.0068,0.0052,0.007,0.0024,0.0032,0.006
HST-KLS1673-4013414,0.0066,0.0018,0.9534,0.008,0.0078,0.0084,0.0018,0.0034,0.0088
HST-KLS1674-4013415,0.0052,0.0016,0.963,0.0058,0.0066,0.006,0.0018,0.004,0.006
HST-KLS1675-4013416,0.0046,0.001,0.9684,0.0054,0.005,0.006,0.0018,0.0032,0.0046
HST-KLS1676-4013417,0.0082,0.0022,0.9556,0.0072,0.006,0.0062,0.0022,0.0044,0.008
HST-KLS1678-4013419,0.0054,0.0024,0.9606,0.0056,0.0054,0.0058,0.0028,0.007,0.005
HST-KLS1680-4013421,0.006,0.0016,0.9536,0.007,0.0056,0.0074,0.0014,0.0106,0.0068
HST-KLS1681-4013422,0.0068,0.002,0.953,0.0068,0.006,0.0078,0.002,0.009,0.0066
HST-KLS1683-4013424,0.0074,0.0014,0.9596,0.0068,0.005,0.0056,0.0016,0.004,0.0086
HST-KLS1684-4013425,0.0046,0.0042,0.9672,0.0052,0.0038,0.0048,0.002,0.0026,0.0056
HST-KLS1685-4013426,0.009,0.0028,0.9462,0.0076,0.0076,0.0074,0.0022,0.0082,0.009
HST-KLS1686-4013427,0.0046,0.0012,0.9694,0.0054,0.0034,0.004,0.002,0.005,0.005
HST-KLS1688-4013428,0.0114,0.0028,0.946,0.0084,0.0056,0.009,0.003,0.0048,0.009
HST-KLS1689-4013429,0.0082,0.0016,0.9532,0.0076,0.0074,0.0086,0.0026,0.004,0.0068
HST-KLS1691-4013431,0.005,0.0012,0.9636,0.004,0.005,0.0044,0.0018,0.0102,0.0048
HST-KLS0490-2892498,0.0064,0.0034,0.9574,0.0064,0.0044,0.006,0.007,0.0028,0.0062
HST-KLS0527-2892409,0.011,0.0016,0.9466,0.0082,0.0088,0.0088,0.0028,0.0042,0.008
HST-KLS0528-2892531,0.0066,0.001,0.9646,0.0062,0.0052,0.0062,0.0014,0.0022,0.0066
HST-KLS0566-2892525,0.0052,0.0014,0.9682,0.005,0.0048,0.0054,0.0014,0.003,0.0056
HST-KLS0573-2892480,0.0096,0.0014,0.9518,0.0084,0.0062,0.008,0.002,0.0048,0.0078
HST-KLS0604-2892450,0.0098,0.0014,0.9474,0.0104,0.0074,0.0084,0.0016,0.0026,0.011
HST-KLS0635-2562180,0.007,0.0012,0.959,0.0054,0.0064,0.0082,0.002,0.0034,0.0074
HST-KLS0636-2562216,0.0106,0.0016,0.9428,0.009,0.0086,0.012,0.0018,0.003,0.0106
HST-KLS0675-2892455,0.006,0.0014,0.963,0.0066,0.0046,0.006,0.0024,0.0028,0.0072
HST-KLS0677-2892491,0.0066,0.0012,0.9666,0.0058,0.0044,0.0054,0.0016,0.0034,0.005
HST-KLS0678-2892468,0.0056,0.0026,0.9598,0.007,0.0048,0.0064,0.0028,0.006,0.005
HST-KLS0679-2892438,0.0024,0.0284,0.9528,0.0026,0.0056,0.002,0.0026,0.0012,0.0024
HST-KLS0680-2892474,0.0052,0.0042,0.9662,0.0048,0.0052,0.005,0.0018,0.0024,0.0052
HST-KLS0681-2892443,0.0072,0.0036,0.9542,0.0074,0.0058,0.0088,0.0026,0.0026,0.0078
HST-KLS0682-2892504,0.0064,0.0056,0.9612,0.006,0.0048,0.0054,0.002,0.0024,0.0062
HST-KLS0686-2892505,0.006,0.0016,0.9582,0.0064,0.0058,0.008,0.0028,0.0042,0.007
HST-KLS0687-2892451,0.006,0.0014,0.9668,0.006,0.0044,0.0058,0.0018,0.0022,0.0056
HST-KLS1157-3593388,0.0064,0.0022,0.961,0.0062,0.0058,0.0064,0.0014,0.0036,0.007
HST-KLS1158-3593383,0.0072,0.0034,0.956,0.0064,0.0072,0.0076,0.0014,0.0034,0.0074
HST-KLS1159-3593340,0.0052,0.0054,0.9582,0.0062,0.006,0.0064,0.0022,0.0042,0.0062
HST-KLS1367-3593339,0.0086,0.001,0.9574,0.007,0.0062,0.0076,0.0016,0.0034,0.0072
HST-KLS1369-3593347,0.006,0.002,0.9586,0.0064,0.0054,0.0066,0.0018,0.0066,0.0066
HST-KLS1370-3593333,0.0048,0.0012,0.9644,0.0052,0.0042,0.0046,0.0016,0.009,0.005
HST-KLS1371-3593312,0.0072,0.002,0.9554,0.0064,0.0064,0.0086,0.0018,0.0042,0.008
HST-KLS1372-3593318,0.0068,0.002,0.9588,0.0072,0.0062,0.0064,0.0024,0.0042,0.006
HST-KLS1380-3593381,0.0026,0.019,0.9614,0.0028,0.004,0.003,0.0014,0.0032,0.0026
HST-KLS1384-3593379,0.0066,0.0012,0.961,0.0062,0.0056,0.0072,0.002,0.0032,0.007
HST-KLS1385-3593310,0.0084,0.0044,0.9476,0.0068,0.0078,0.0082,0.0026,0.0064,0.0078
HST-KLS1412-3593322,0.007,0.0114,0.9484,0.0082,0.0064,0.007,0.0018,0.0036,0.0062
HST-KLS1414-3593346,0.008,0.0022,0.9554,0.0078,0.005,0.0078,0.0032,0.003,0.0076
HST-KLS1417-3593370,0.0076,0.0032,0.956,0.0064,0.0062,0.0074,0.0018,0.0038,0.0076
HST-KLS1418-3593309,0.0072,0.0014,0.956,0.0068,0.0054,0.0068,0.0024,0.0054,0.0086
HST-KLS1419-3593306,0.0056,0.0016,0.959,0.0044,0.0056,0.0046,0.0014,0.0118,0.006
HST-KLS1420-3593353,0.0066,0.0018,0.9578,0.0072,0.0058,0.0074,0.003,0.0036,0.0068
HST-KLS1422-3593399,0.0058,0.0016,0.9588,0.0058,0.005,0.0066,0.0014,0.0092,0.0058
HST-KLS1424-3593329,0.0046,0.0012,0.973,0.0046,0.0036,0.004,0.0014,0.0034,0.0042
HST-KLS1429-3593311,0.0058,0.0022,0.9658,0.0054,0.0046,0.0056,0.0024,0.0032,0.005
HST-VU38-2892414,0.008,0.0016,0.9574,0.0074,0.0076,0.0064,0.0018,0.003,0.0068
HST-KLS0794-2562199,0.0056,0.0016,0.9636,0.005,0.0054,0.007,0.0014,0.004,0.0064
HST-KLS0795-2892379,0.0064,0.0024,0.9604,0.0074,0.0056,0.0068,0.0024,0.0024,0.0062
HST-KLS0804-2892392,0.0052,0.0012,0.9656,0.006,0.004,0.005,0.0052,0.0028,0.005
HST-KLS0843-2892452,0.0086,0.001,0.9498,0.008,0.0062,0.0088,0.0048,0.0038,0.009
HST-KLS0847-2892542,0.0234,0.0024,0.8878,0.0132,0.0144,0.0308,0.0018,0.0048,0.0214
HST-KLS0858-2892456,0.0096,0.001,0.9486,0.0092,0.0064,0.0092,0.002,0.0054,0.0086
