,0,1,2,3,4
HST-As008-3991483,0.0039,0.0105,0.0015,0.9821,0.002
HST-KLS0362-2562256,0.0017,0.0027,0.0019,0.9919,0.0018
HST-KLS0490-2892498,0.3895,0.0126,0.5793,0.0025,0.0161
HST-KLS0527-2892409,0.2045,0.0011,0.7608,0.0032,0.0304
HST-KLS0528-2892531,0.0174,0.002,0.9721,0.0017,0.0068
HST-KLS0566-2892525,0.0248,0.0013,0.8983,0.0027,0.0729
HST-KLS0573-2892480,0.0753,0.0023,0.8911,0.005,0.0263
HST-KLS0604-2892450,0.0675,0.0058,0.9157,0.0045,0.0065
HST-KLS0635-2562180,0.0117,0.0163,0.9618,0.0022,0.008
HST-KLS0636-2562216,0.021,0.0057,0.9559,0.0095,0.0079
HST-KLS0675-2892455,0.0187,0.004,0.8541,0.0057,0.1175
HST-KLS0677-2892491,0.0269,0.0021,0.9553,0.0077,0.008
HST-KLS0678-2892468,0.0088,0.0012,0.9815,0.0019,0.0066
HST-KLS0679-2892438,0.1082,0.0015,0.4831,0.1061,0.301
HST-KLS0680-2892474,0.0209,0.0402,0.9216,0.004,0.0133
HST-KLS0681-2892443,0.1143,0.001,0.8206,0.044,0.0201
HST-KLS0682-2892504,0.0127,0.0029,0.895,0.0574,0.032
HST-KLS0686-2892505,0.0125,0.0037,0.955,0.0061,0.0227
HST-KLS0687-2892451,0.0155,0.005,0.9425,0.0168,0.0202
HST-KLS1157-3593388,0.3867,0.0037,0.5665,0.0162,0.0269
HST-KLS1158-3593383,0.9023,0.0017,0.0683,0.0039,0.0237
HST-KLS1159-3593340,0.9342,0.001,0.0137,0.0039,0.0472
HST-KLS1367-3593339,0.8969,0.0015,0.0505,0.0051,0.046
HST-KLS1369-3593347,0.9726,0.0071,0.0045,0.0049,0.0109
HST-KLS1370-3593333,0.7942,0.0047,0.1403,0.0056,0.0552
HST-KLS1371-3593312,0.8971,0.003,0.0464,0.0031,0.0504
HST-KLS1372-3593318,0.9343,0.0029,0.0179,0.0017,0.0432
HST-KLS1380-3593381,0.6623,0.2236,0.0068,0.0526,0.0547
HST-KLS1384-3593379,0.8578,0.0853,0.0068,0.005,0.0452
HST-KLS1385-3593310,0.8446,0.0928,0.0094,0.0221,0.0311
HST-KLS1412-3593322,0.8926,0.025,0.011,0.0033,0.0681
HST-KLS1414-3593346,0.9649,0.0029,0.0152,0.0031,0.0139
HST-KLS1417-3593370,0.8326,0.0038,0.0452,0.0053,0.1131
HST-KLS1418-3593309,0.9353,0.0044,0.0229,0.0079,0.0295
HST-KLS1419-3593306,0.9496,0.0039,0.0167,0.0011,0.0287
HST-KLS1420-3593353,0.9199,0.0129,0.0095,0.014,0.0437
HST-KLS1422-3593399,0.8677,0.0068,0.0483,0.0148,0.0624
HST-KLS1424-3593329,0.9348,0.0012,0.0176,0.0077,0.0387
HST-KLS1429-3593311,0.9191,0.0047,0.0088,0.002,0.0654
HST-KLS1662-4013403,0.9392,0.0054,0.0068,0.0076,0.041
HST-KLS1665-4013406,0.8074,0.001,0.0348,0.0038,0.153
HST-KLS1666-4013407,0.9395,0.0016,0.008,0.0014,0.0495
HST-KLS1667-4013408,0.6391,0.0016,0.2967,0.0025,0.0601
HST-KLS1668-4013409,0.9067,0.0038,0.0603,0.0041,0.0251
HST-KLS1669-4013410,0.9397,0.0009,0.0103,0.0018,0.0473
HST-KLS1670-4013411,0.7512,0.0018,0.198,0.002,0.047
HST-KLS1671-4013412,0.8946,0.001,0.0131,0.0011,0.0902
HST-KLS1673-4013414,0.8531,0.0329,0.0259,0.0047,0.0834
HST-KLS1674-4013415,0.7552,0.0012,0.1794,0.0032,0.0611
HST-KLS1675-4013416,0.8948,0.0015,0.0362,0.0079,0.0596
HST-KLS1676-4013417,0.8899,0.0025,0.0134,0.0094,0.0848
