,0,1,2,3,4
ALA-KLS1162-2892512,0.9921,0.0021,0.0009,0.0023,0.0026
ALA-KLS1163-2892427,0.978,0.0027,0.001,0.0018,0.0165
ALA-KLS1165-2892485,0.9873,0.0025,0.001,0.0052,0.004
ALA-KLS1166-2892541,0.9357,0.0011,0.0013,0.0015,0.0604
ALA-KLS1167-2892484,0.9916,0.0022,0.001,0.0018,0.0034
ALA-KLS1168-2892413,0.9421,0.001,0.001,0.0023,0.0536
ALA-KLS1169-2892448,0.9535,0.001,0.0099,0.0041,0.0315
ALA-KLS1170-2892511,0.9765,0.0011,0.0025,0.0052,0.0147
ALA-KLS1366-3593364,0.9874,0.0037,0.001,0.0025,0.0054
ALA-KLS1373-3593328,0.962,0.0008,0.0167,0.0089,0.0116
ALA-KLS1387-3593387,0.9815,0.0033,0.002,0.0027,0.0105
ALA-KLS1413-3593365,0.979,0.0054,0.0006,0.0054,0.0096
ALA-KLS1415-3593359,0.9765,0.001,0.0048,0.0075,0.0102
ALA-KLS1661-4013402,0.9878,0.001,0.0023,0.001,0.0079
ALA-KLS1663-4013404,0.9906,0.0015,0.0011,0.0025,0.0043
ALA-KLS1664-4013405,0.9902,0.0011,0.0013,0.0042,0.0032
ALA-KLS1682-4013423,0.9883,0.0036,0.0012,0.0048,0.0021
ALA-KLS1690-4013430,0.9932,0.001,0.0012,0.0034,0.0012
ALA-VU15-2892510,0.9898,0.0044,0.0029,0.0014,0.0015
ALA-VU20-2892394,0.9473,0.0056,0.0019,0.0305,0.0147
ALA-VU21-2892380,0.989,0.0038,0.0026,0.0013,0.0033
ALA-VU33-2892383,0.9911,0.0025,0.0017,0.0023,0.0024
ALA-VU37-2892482,0.9844,0.0052,0.0016,0.0057,0.0031
ALA-VU47-2892477,0.9902,0.0011,0.0031,0.0032,0.0024
ALA-VU50-2892527,0.9808,0.001,0.0012,0.0023,0.0147
ALA-KLS0793-2892513,0.9908,0.001,0.0011,0.0058,0.0013
ALA-KLS0796-2892514,0.9694,0.0015,0.0111,0.0014,0.0166
ALA-KLS0797-2892471,0.9943,0.0005,0.001,0.0013,0.0029
ALA-KLS0857-2892463,0.9923,0.001,0.0027,0.003,0.001
ALA-KLS0871-2892523,0.9886,0.0023,0.0011,0.0036,0.0044
ALA-KLS0872-2892526,0.9958,0.0011,0.0006,0.001,0.0015
ALA-KLS1444-3593398,0.9893,0.0032,0.0018,0.0036,0.0021
ALA-KLS1448-3593341,0.9798,0.001,0.0145,0.0022,0.0025
ALA-KLS1452-3593342,0.9854,0.0013,0.0012,0.0071,0.005
ALA-KLS1467-3593390,0.9919,0.0014,0.0012,0.0026,0.0029
ALA-KLS1474-3593384,0.9769,0.0012,0.001,0.0067,0.0142
ALA-KLS1479-3593389,0.9839,0.0014,0.0017,0.006,0.007
ALA-KLS1492-3593391,0.9891,0.0011,0.001,0.0069,0.0019
APO-KLS1002-2562146,0.9928,0.002,0.001,0.001,0.0032
ALA-MAGNT-R36654-2583996,0.0061,0.0022,0.1701,0.8191,0.0025
ALA-R29880-2892521,0.004,0.001,0.2208,0.7704,0.0038
ALA-R36967-2892426,0.0016,0.0011,0.0511,0.9452,0.001
ALA-R36974-2892437,0.001,0.0177,0.1138,0.8643,0.0032
ALA-R37003-2892459,0.0025,0.0009,0.2965,0.6965,0.0036
ALA-R37010-2892460,0.001,0.0013,0.3104,0.6865,0.0008
ALA-R37025-2892461,0.0029,0.001,0.238,0.7565,0.0016
ALA-R37027-2892458,0.0061,0.0016,0.2823,0.7081,0.0019
ALA-R37032-2892401,0.001,0.0002,0.2515,0.7463,0.001
ALA-R37034-2892486,0.0013,0.001,0.2551,0.7401,0.0025
ALA-R37101-2892544,0.0012,0.003,0.2088,0.7859,0.0011
ALA-R37113-2892490,0.0291,0.0038,0.3099,0.6541,0.0031
ALA-R37116-2892470,0.0012,0.001,0.3376,0.6575,0.0027
ALA-R37122-2892464,0.0013,0.001,0.2394,0.7573,0.001
ALA-R37128-2892424,0.0014,0.0011,0.3206,0.674,0.0029
ALA-R37140-2892462,0.0029,0.003,0.1151,0.8745,0.0045
ALA-VU121-2562122,0.4343,0.0013,0.0015,0.0197,0.5432
ALA-VU130-2562201,0.0056,0.9866,0.0012,0.005,0.0016
ALA-VU132-2562114,0.6866,0.0011,0.0013,0.0171,0.2939
ALA-NC_2019_217-2117818,0.0,0.0,0.9996,0.0004,0.0
ALA-NC_2019_247-2117816,0.0,0.0,0.9997,0.0003,0.0
ALA-NC_Jan2019_208-2562133,0.0001,0.0,0.9998,0.0001,0.0
ALA-NC_Jan2019_213-2892489,0.0011,0.0005,0.8992,0.098,0.0012
ALA-NC_Jan2019_217-2892446,0.0,0.0,0.9996,0.0004,0.0
ALA-NC_Jan2019_227-2892537,0.0015,0.0004,0.8068,0.1902,0.0011
ALA-NC_Jan2019_247-2892476,0.0,0.0,0.9997,0.0003,0.0
ALA-NC_Jan2019_253-3446972,0.0012,0.0012,0.9817,0.0149,0.001
ALA-NC_Jan2019_269-3446978,0.001,0.0013,0.7996,0.1971,0.001
ALA-NC_Jan2019_271-2892518,0.0012,0.0008,0.8819,0.115,0.0011
ALA-NC_Jan2019_275-3446981,0.0,0.0,0.9992,0.0008,0.0
ALA-NC_Jan2019_282-2562143,0.0024,0.0008,0.8715,0.1247,0.0006
ALA-Al376-3991427,0.0032,0.001,0.2841,0.7098,0.0019
ALA-Al377-3991428,0.0011,0.0009,0.342,0.6545,0.0015
ALA-Al378-3991429,0.0014,0.001,0.3146,0.6816,0.0014
ALA-Al379-3991430,0.0118,0.0134,0.2717,0.6727,0.0304
ALA-KLS0564-R174540-2892378,0.9709,0.0015,0.0025,0.023,0.0021
ALA-KLS1526-3593366,0.9727,0.0079,0.001,0.0044,0.014
ALA-KLS1548-3593373,0.9875,0.0027,0.001,0.004,0.0048
ALA-KLS1549-3593354,0.9612,0.0073,0.0011,0.0263,0.0041
ALA-KLS1555-3593323,0.9884,0.0012,0.0022,0.0046,0.0036
ALA-SS170808-01-2562218,0.995,0.0016,0.0009,0.0013,0.0012
ALA-SS170808-06-2892529,0.9898,0.0027,0.0009,0.0031,0.0035
ALA-SS170809-01-2892375,0.9904,0.0012,0.001,0.0033,0.0041
ALA-SS170809-03-2892475,0.9911,0.0034,0.001,0.0023,0.0022
ALA-SS170810-01-2892386,0.9931,0.0018,0.0012,0.0022,0.0017
ALA-SS170813-01-2892422,0.9746,0.0009,0.0012,0.006,0.0173
ALA-SS170815-01-2892435,0.9789,0.0159,0.0009,0.002,0.0023
ALA-SS170815-03-2892473,0.9904,0.001,0.001,0.0022,0.0054
ALA-SS170815-04-2892440,0.9781,0.001,0.0015,0.0018,0.0176
ALA-SS170816-01-2892493,0.9938,0.0031,0.001,0.0011,0.001
ALA-SS170820-05-2892447,0.9902,0.0014,0.001,0.0038,0.0036
ALA-SS170822-01-2892494,0.9912,0.0017,0.0019,0.002,0.0032
ALA-SS170822-02-2892495,0.9791,0.0126,0.0018,0.0044,0.0021
ALA-SS170822-03-2892528,0.9901,0.001,0.0008,0.0022,0.0059
ALA-SS171011-02-2892425,0.9931,0.0018,0.0008,0.0013,0.003
ALA-SS171011-03-2892496,0.984,0.0015,0.001,0.0082,0.0053
ALA-SS171018-02-2892517,0.9936,0.0022,0.0006,0.0026,0.001
ALA-SS171025-01-2892506,0.9798,0.0011,0.0148,0.001,0.0033
ALA-SS171104-01-2892432,0.9897,0.0014,0.001,0.0017,0.0062
ALA-SS171105-01-2892472,0.9882,0.0029,0.0009,0.0046,0.0034
