,0,1,2,3,4,5,6,7
ALA-SS170816-01-2892493,0.9588,0.0076,0.0042,0.0074,0.006,0.0058,0.0058,0.0044
ALA-SS170820-05-2892447,0.9564,0.006,0.0096,0.0056,0.0052,0.0058,0.006,0.0054
ALA-SS170822-01-2892494,0.9518,0.0076,0.0044,0.0104,0.0082,0.0058,0.0082,0.0036
ALA-SS170822-02-2892495,0.9196,0.016,0.0054,0.0136,0.0154,0.0098,0.0144,0.0058
ALA-SS170822-03-2892528,0.9486,0.0076,0.0054,0.0084,0.0082,0.007,0.007,0.0078
ALA-SS171011-02-2892425,0.9594,0.0064,0.0046,0.0062,0.006,0.006,0.0064,0.005
ALA-SS171011-03-2892496,0.9628,0.0052,0.0046,0.0052,0.0058,0.0052,0.0058,0.0054
ALA-SS171018-02-2892517,0.9638,0.0048,0.006,0.0048,0.006,0.0056,0.0048,0.0042
ALA-SS171025-01-2892506,0.9568,0.0066,0.0042,0.008,0.0064,0.0054,0.0084,0.0042
ALA-SS171104-01-2892432,0.961,0.0064,0.0044,0.0058,0.0058,0.0064,0.0064,0.0038
ALA-SS171105-01-2892472,0.9588,0.0062,0.004,0.0072,0.0066,0.0064,0.0066,0.0042
ALA-SS171106-02-2892479,0.9588,0.0076,0.0032,0.0064,0.0068,0.0064,0.0072,0.0036
ALA-SS171106-03-2892404,0.9692,0.0048,0.0034,0.005,0.0046,0.0044,0.0052,0.0034
ALA-VU51-2892500,0.9602,0.006,0.0036,0.007,0.006,0.0058,0.0078,0.0036
ALA-VU53-2892376,0.9588,0.0066,0.006,0.0076,0.0064,0.0058,0.0052,0.0036
ALA-VU62-2892417,0.9552,0.0072,0.0034,0.0094,0.0056,0.0072,0.0082,0.0038
APO-BD304-2892487,0.9508,0.0066,0.0078,0.0086,0.0054,0.0084,0.0068,0.0056
APO-BD320-2892516,0.9608,0.0048,0.0066,0.0046,0.0058,0.0066,0.0046,0.0062
APO-BD325-2892538,0.9558,0.0054,0.0066,0.005,0.0058,0.0054,0.005,0.011
APO-BD326-2892550,0.9538,0.004,0.0084,0.0042,0.0068,0.007,0.0042,0.0116
APO-BD330-2892535,0.9626,0.0052,0.0034,0.0044,0.0044,0.0052,0.005,0.0098
APO-BD331-2892519,0.9636,0.0044,0.0052,0.004,0.0056,0.005,0.0034,0.0088
APO-BD337-2892483,0.9644,0.0054,0.006,0.0048,0.0042,0.0044,0.0052,0.0056
APO-BD338-2892540,0.9576,0.0032,0.008,0.004,0.0046,0.0064,0.0034,0.0128
APO-BD339-2892520,0.9658,0.0044,0.0044,0.0052,0.0052,0.0046,0.0048,0.0056
APO-BD342-2892423,0.956,0.0048,0.0058,0.005,0.0056,0.0052,0.0046,0.013
