,0,1,2,3,4,5,6,7,8,9
ALA-AL402-3991433,0.0102,0.0032,0.0102,0.0021,0.0017,0.0087,0.0085,0.0004,0.0012,0.9538
ALA-AL403-3991434,0.0127,0.0043,0.0034,0.0155,0.0089,0.1069,0.0027,0.0042,0.0034,0.838
ALA-AL405-3991436,0.0039,0.0051,0.0023,0.0022,0.0022,0.0029,0.0011,0.001,0.001,0.9783
ALA-AL406-3991437,0.0061,0.0059,0.3584,0.0042,0.0036,0.0086,0.0013,0.0011,0.0041,0.6067
ALA-AL407-3991438,0.0031,0.0114,0.0038,0.0072,0.0034,0.0052,0.0012,0.0009,0.001,0.9628
ALA-AL408-3991439,0.0024,0.0033,0.0021,0.0041,0.0022,0.0033,0.001,0.0028,0.015,0.9638
ALA-AL409-3991440,0.0059,0.0087,0.0349,0.0092,0.0038,0.0277,0.0069,0.0508,0.0025,0.8496
ALA-AL410-3991441,0.0018,0.002,0.0028,0.0036,0.0027,0.0022,0.0015,0.0009,0.001,0.9815
ALA-AL411-3991442,0.0087,0.003,0.0199,0.0032,0.003,0.0035,0.0015,0.0029,0.0024,0.9519
ALA-AL412-3991443,0.0052,0.0058,0.002,0.0029,0.0032,0.004,0.0009,0.001,0.0012,0.9738
ALA-AL413-3991444,0.0047,0.0033,0.0026,0.0065,0.0047,0.0105,0.0023,0.001,0.001,0.9634
ALA-AL414-3991445,0.0089,0.0053,0.0048,0.0129,0.0096,0.0058,0.0021,0.0009,0.0027,0.947
ALA-AL415-3991446,0.0032,0.0025,0.0061,0.0127,0.0022,0.0031,0.001,0.0004,0.0014,0.9674
ALA-AL416-3991447,0.008,0.0031,0.0154,0.0026,0.0054,0.0052,0.0013,0.001,0.0125,0.9455
ALA-AL417-3991448,0.0056,0.0036,0.0854,0.0064,0.0053,0.0073,0.0145,0.0065,0.0019,0.8635
ALA-AL418-3991449,0.0057,0.0059,0.0027,0.0124,0.0036,0.0029,0.001,0.0004,0.0014,0.964
ALA-AL419-3991450,0.0155,0.0083,0.0193,0.0148,0.0161,0.0228,0.0022,0.0022,0.0028,0.896
ALA-AL420-3991451,0.0124,0.0071,0.0053,0.0045,0.0037,0.0134,0.0017,0.0029,0.0137,0.9353
ALA-AL422-3991452,0.0013,0.0023,0.0023,0.0016,0.0013,0.0022,0.0031,0.0007,0.0009,0.9843
ALA-AL423-3991453,0.0036,0.0072,0.0024,0.003,0.0028,0.0019,0.001,0.0011,0.001,0.976
ALA-AL424-4013486,0.0229,0.0101,0.0151,0.0045,0.0219,0.0092,0.0009,0.001,0.0026,0.9119
ALA-AL425-3991454,0.0046,0.0083,0.0589,0.0074,0.0029,0.0104,0.0036,0.0045,0.0011,0.8983
ALA-AL426-3991455,0.0022,0.0014,0.3226,0.0015,0.0014,0.0023,0.0011,0.0013,0.0044,0.6618
ALA-AL427-3991456,0.0016,0.0011,0.2631,0.0017,0.0012,0.001,0.0027,0.0009,0.0043,0.7224
ALA-AL429-3991457,0.0097,0.0035,0.0265,0.0025,0.0045,0.0039,0.0016,0.0008,0.0017,0.9453
ALA-AL430-3991458,0.0017,0.0023,0.0031,0.0056,0.0019,0.0022,0.0011,0.001,0.0011,0.98
ALA-AL431-3991459,0.0113,0.0079,0.0037,0.0029,0.0046,0.008,0.0058,0.0025,0.004,0.9493
ALA-AL432-3991460,0.0024,0.0019,0.0026,0.0022,0.0017,0.002,0.0009,0.0009,0.001,0.9844
ALA-AL433-3991461,0.0027,0.0027,0.5043,0.0033,0.0018,0.0058,0.0014,0.0005,0.0013,0.4762
ALA-AL434-3991462,0.0013,0.0017,0.003,0.0012,0.0024,0.0046,0.0005,0.0017,0.0012,0.9824
ALA-AL435-3991463,0.0047,0.0029,0.0109,0.0021,0.0026,0.003,0.001,0.0012,0.0071,0.9645
ALA-AL436-3991464,0.0015,0.0018,0.0018,0.0014,0.0014,0.0013,0.0038,0.001,0.0012,0.9848
ALA-AL437-3991465,0.0024,0.0016,0.0047,0.2839,0.0027,0.0032,0.0007,0.0083,0.0015,0.691
ALA-AL439-3991466,0.0027,0.0031,0.0015,0.0034,0.0023,0.0025,0.001,0.0013,0.001,0.9812
ALA-AL440-3991467,0.0037,0.0024,0.0019,0.3904,0.0032,0.0025,0.0009,0.0035,0.0094,0.5821
ALA-AL441-3991468,0.0022,0.0021,0.0467,0.0024,0.0017,0.0021,0.0031,0.0009,0.001,0.9378
ALA-AL442-3991469,0.0026,0.004,0.0025,0.0125,0.0019,0.0057,0.0021,0.001,0.0014,0.9663
ALA-Al003-3991431,0.0069,0.0034,0.0026,0.004,0.0059,0.0283,0.0008,0.0024,0.0126,0.9331
ALA-Al272-3991284,0.0021,0.0016,0.0018,0.0016,0.0014,0.0016,0.0027,0.0016,0.0026,0.983
ALA-Al274-3991285,0.0029,0.0021,0.0161,0.0059,0.0014,0.0023,0.0035,0.001,0.0015,0.9633
ALA-Al275-3991286,0.0034,0.0042,0.0043,0.0032,0.0025,0.0036,0.0018,0.0005,0.0011,0.9754
ALA-Al277-3991287,0.0054,0.0126,0.0051,0.0034,0.0021,0.0049,0.0035,0.0034,0.0013,0.9583
ALA-Al278-3991288,0.0037,0.0026,0.0067,0.0021,0.0015,0.0037,0.0005,0.001,0.001,0.9772
ALA-Al279-3991289,0.0027,0.0058,0.0031,0.0029,0.0037,0.0019,0.0024,0.0009,0.001,0.9756
ALA-Al280-3991290,0.0046,0.0056,0.0024,0.0046,0.0049,0.004,0.001,0.0008,0.0014,0.9707
ALA-Al281-3991291,0.0267,0.0135,0.0062,0.0137,0.0111,0.0073,0.0014,0.004,0.0031,0.913
ALA-Al282-3991292,0.0014,0.0026,0.0016,0.0042,0.0017,0.0018,0.0022,0.001,0.0019,0.9816
ALA-Al283-3991293,0.0034,0.0055,0.002,0.0026,0.0021,0.0054,0.0011,0.0007,0.0019,0.9753
ALA-Al285-3991294,0.0034,0.0036,0.0017,0.0046,0.0023,0.0026,0.0025,0.0023,0.0028,0.9742
