,0,1,2,3
ALA-KLS1661-4013402,0.0013,0.0027,0.0083,0.9877
ALA-KLS1663-4013404,0.0034,0.0011,0.0041,0.9914
ALA-KLS1664-4013405,0.0055,0.0014,0.0033,0.9898
ALA-KLS1682-4013423,0.0054,0.0011,0.0026,0.9909
ALA-KLS1690-4013430,0.0035,0.0017,0.0012,0.9936
ALA-VU15-2892510,0.0015,0.0022,0.0019,0.9944
ALA-VU20-2892394,0.0338,0.0019,0.0224,0.9419
ALA-VU21-2892380,0.0012,0.0025,0.0034,0.9929
ALA-VU33-2892383,0.0022,0.002,0.0026,0.9932
ALA-VU37-2892482,0.0083,0.0017,0.0052,0.9848
ALA-VU47-2892477,0.0037,0.0033,0.0023,0.9907
ALA-VU50-2892527,0.0026,0.0014,0.0355,0.9605
ALA-KLS0793-2892513,0.0059,0.001,0.0017,0.9914
ALA-KLS0796-2892514,0.0015,0.0137,0.0154,0.9694
ALA-KLS0797-2892471,0.0014,0.001,0.0026,0.995
ALA-KLS0857-2892463,0.0035,0.0027,0.001,0.9928
ALA-KLS0871-2892523,0.0037,0.0012,0.0036,0.9915
ALA-KLS0872-2892526,0.0011,0.0009,0.002,0.996
ALA-KLS1444-3593398,0.0036,0.0029,0.0023,0.9912
ALA-KLS1448-3593341,0.002,0.015,0.0027,0.9803
ALA-KLS1452-3593342,0.0066,0.0013,0.0063,0.9858
ALA-KLS1467-3593390,0.0026,0.0013,0.0044,0.9917
ALA-KLS1474-3593384,0.0053,0.001,0.0118,0.9819
ALA-KLS1479-3593389,0.0077,0.0017,0.0094,0.9812
ALA-KLS1492-3593391,0.0081,0.001,0.0021,0.9888
APO-KLS1002-2562146,0.0011,0.001,0.0039,0.994
ALA-MAGNT-R36654-2583996,0.8053,0.1868,0.0026,0.0053
ALA-R29880-2892521,0.7454,0.2467,0.0038,0.0041
ALA-R36967-2892426,0.9468,0.0504,0.001,0.0018
ALA-R36974-2892437,0.8469,0.1474,0.0044,0.0013
ALA-R37003-2892459,0.6894,0.3037,0.0042,0.0027
ALA-R37010-2892460,0.6793,0.3187,0.001,0.001
ALA-R37025-2892461,0.7512,0.2447,0.0016,0.0024
ALA-R37027-2892458,0.6944,0.2984,0.0022,0.005
ALA-R37032-2892401,0.739,0.259,0.001,0.001
ALA-R37034-2892486,0.714,0.2809,0.0033,0.0018
ALA-R37101-2892544,0.7661,0.2312,0.0011,0.0016
