,0,1,2,3,4
ALA-KLS1663-4013404,0.108,0.0121,0.0116,0.8494,0.0189
ALA-KLS1664-4013405,0.0919,0.0121,0.0126,0.8751,0.0083
ALA-KLS1682-4013423,0.0123,0.0095,0.0094,0.9638,0.005
ALA-KLS1690-4013430,0.034,0.0181,0.0176,0.9193,0.011
ALA-KLS1140-2892558,0.1386,0.0194,0.0183,0.8007,0.023
ALA-KLS1161-2892441,0.0918,0.0116,0.012,0.8796,0.005
ALA-KLS1162-2892512,0.0128,0.0124,0.012,0.9348,0.028
ALA-KLS1163-2892427,0.0519,0.0151,0.0141,0.9123,0.0066
ALA-KLS1165-2892485,0.2227,0.0093,0.0091,0.7534,0.0055
ALA-KLS1166-2892541,0.0573,0.0087,0.0086,0.921,0.0044
ALA-KLS1167-2892484,0.022,0.0195,0.0194,0.935,0.0041
ALA-KLS1168-2892413,0.1625,0.0114,0.012,0.8111,0.003
ALA-KLS1169-2892448,0.0851,0.0144,0.0131,0.8504,0.037
ALA-KLS1170-2892511,0.0956,0.015,0.0157,0.8603,0.0134
ALA-KLS1366-3593364,0.0444,0.0145,0.0159,0.92,0.0052
ALA-KLS1373-3593328,0.0126,0.0245,0.0251,0.8473,0.0905
ALA-KLS1387-3593387,0.1143,0.0112,0.011,0.852,0.0115
ALA-KLS1413-3593365,0.0339,0.0085,0.0093,0.9459,0.0024
ALA-KLS1415-3593359,0.0383,0.0158,0.0161,0.9054,0.0244
ALA-VU15-2892510,0.013,0.01,0.0102,0.9456,0.0212
ALA-VU20-2892394,0.0202,0.006,0.0059,0.9575,0.0104
ALA-VU21-2892380,0.0375,0.0124,0.0125,0.9334,0.0042
ALA-VU33-2892383,0.0063,0.0144,0.0156,0.9462,0.0175
ALA-VU37-2892482,0.0971,0.0149,0.0161,0.8517,0.0202
ALA-VU47-2892477,0.1037,0.01,0.0095,0.8731,0.0037
ALA-VU50-2892527,0.0939,0.0121,0.0123,0.869,0.0127
ALA-KLS0793-2892513,0.019,0.005,0.0049,0.9648,0.0063
ALA-KLS0796-2892514,0.0516,0.0156,0.015,0.8929,0.0249
ALA-KLS0797-2892471,0.006,0.0147,0.0166,0.9545,0.0082
ALA-KLS0857-2892463,0.0048,0.0133,0.015,0.9567,0.0102
ALA-KLS0871-2892523,0.0113,0.0206,0.0215,0.9402,0.0064
ALA-KLS0872-2892526,0.0452,0.0103,0.01,0.9304,0.0041
ALA-KLS1444-3593398,0.0307,0.0159,0.0146,0.9132,0.0256
ALA-KLS1448-3593341,0.0062,0.0168,0.0166,0.9518,0.0086
ALA-KLS1452-3593342,0.1048,0.0089,0.0095,0.8562,0.0206
ALA-KLS1467-3593390,0.0123,0.0137,0.014,0.9466,0.0134
ALA-KLS1474-3593384,0.0264,0.0105,0.0106,0.9406,0.0119
ALA-KLS1479-3593389,0.1098,0.015,0.0154,0.8518,0.008
ALA-KLS1492-3593391,0.0117,0.0117,0.0117,0.9604,0.0045
APO-KLS1002-2562146,0.0608,0.015,0.015,0.9034,0.0058
ALA-MAGNT-R36654-2583996,0.0323,0.0024,0.0023,0.3918,0.5712
