,0,1,2,3,4
HST-VU116-2892391,0.0046,0.006,0.0061,0.1942,0.7891
HST-J82337-2562260,0.0034,0.0038,0.0041,0.4667,0.522
HST-KLS0559-2892377,0.0059,0.0061,0.0059,0.001,0.9811
HST-KLS1173-2892444,0.0078,0.0087,0.0093,0.0021,0.9721
HST-KLS1182-2892449,0.0086,0.0117,0.011,0.0011,0.9676
HST-KLS1200-2892434,0.0053,0.0067,0.0069,0.001,0.9801
HST-KLS1206-3593330,0.0043,0.0063,0.0063,0.0015,0.9816
HST-KLS1227-2892412,0.0091,0.0117,0.0106,0.0043,0.9643
HST-KLS1515-3593385,0.0057,0.0069,0.0071,0.001,0.9793
HST-KLS1517-3593355,0.0097,0.0087,0.0092,0.0014,0.971
HST-KLS1528-3593321,0.01,0.0089,0.009,0.0019,0.9702
HST-KLS1541-3593313,0.0077,0.0088,0.0091,0.0019,0.9725
HST-KLS1544-3593344,0.0057,0.0062,0.0059,0.0045,0.9777
HST-KLS1556-3593324,0.0042,0.0051,0.0048,0.0031,0.9828
HST-SS170814-01-2562208,0.0143,0.0199,0.0197,0.0011,0.945
HST-SS170820-02-2892469,0.0081,0.0079,0.0078,0.001,0.9752
