,0,1,2
ALA-KLS0871-2892523,0.8672,0.0109,0.1219
ALA-KLS0872-2892526,0.8599,0.0044,0.1357
ALA-KLS1444-3593398,0.8138,0.0196,0.1666
ALA-KLS1448-3593341,0.875,0.021,0.104
ALA-KLS1452-3593342,0.7486,0.0104,0.241
ALA-KLS1467-3593390,0.8789,0.0123,0.1088
ALA-KLS1474-3593384,0.8662,0.0131,0.1207
ALA-KLS1479-3593389,0.7019,0.0043,0.2938
ALA-KLS1492-3593391,0.8868,0.0054,0.1078
APO-KLS1002-2562146,0.8314,0.0073,0.1613
ALA-MAGNT-R36654-2583996,0.2835,0.6214,0.0951
ALA-R29880-2892521,0.0826,0.6648,0.2526
ALA-R36967-2892426,0.2282,0.6519,0.1199
ALA-R36974-2892437,0.0382,0.8362,0.1256
ALA-R37003-2892459,0.2964,0.6295,0.074
ALA-R37010-2892460,0.1334,0.7825,0.0841
ALA-R37025-2892461,0.0417,0.7615,0.1967
ALA-R37027-2892458,0.2402,0.6733,0.0865
ALA-R37032-2892401,0.0741,0.6622,0.2637
ALA-R37034-2892486,0.124,0.6116,0.2644
ALA-R37101-2892544,0.3136,0.6071,0.0793
ALA-R37113-2892490,0.1615,0.8176,0.0209
ALA-R37116-2892470,0.1701,0.6601,0.1698
ALA-R37122-2892464,0.1931,0.735,0.0719
ALA-R37128-2892424,0.0124,0.7894,0.1982
ALA-R37140-2892462,0.1244,0.6033,0.2723
ALA-VU121-2562122,0.3775,0.02,0.6025
ALA-VU130-2562201,0.487,0.1627,0.3503
ALA-VU132-2562114,0.557,0.0256,0.4174
ALA-NC_2019_217-2117818,0.0027,0.994,0.0033
ALA-NC_2019_247-2117816,0.002,0.9956,0.0024
ALA-NC_Jan2019_208-2562133,0.003,0.9935,0.0035
ALA-NC_Jan2019_213-2892489,0.0077,0.9751,0.0172
ALA-NC_Jan2019_217-2892446,0.0027,0.9935,0.0038
ALA-NC_Jan2019_227-2892537,0.0207,0.9556,0.0237
ALA-NC_Jan2019_247-2892476,0.0019,0.9956,0.0025
ALA-NC_Jan2019_253-3446972,0.007,0.9895,0.0035
ALA-NC_Jan2019_269-3446978,0.0118,0.9784,0.0098
ALA-NC_Jan2019_271-2892518,0.0039,0.9898,0.0063
ALA-NC_Jan2019_275-3446981,0.0034,0.9949,0.0017
ALA-NC_Jan2019_282-2562143,0.0041,0.9928,0.0031
ALA-Al376-3991427,0.1364,0.5395,0.3241
ALA-Al377-3991428,0.028,0.7313,0.2407
ALA-Al378-3991429,0.0374,0.5975,0.3651
ALA-Al379-3991430,0.0584,0.5909,0.3507
ALA-KLS0564-R174540-2892378,0.7796,0.0445,0.1759
ALA-KLS1526-3593366,0.7404,0.0049,0.2547
ALA-KLS1548-3593373,0.7799,0.0052,0.2149
ALA-KLS1549-3593354,0.8298,0.0135,0.1567
ALA-KLS1555-3593323,0.8086,0.0059,0.1855
ALA-SS170808-01-2562218,0.8913,0.0028,0.1059
ALA-SS170808-06-2892529,0.8627,0.0053,0.132
ALA-SS170809-01-2892375,0.841,0.0052,0.1538
ALA-SS170809-03-2892475,0.8568,0.0062,0.137
ALA-SS170810-01-2892386,0.8492,0.0121,0.1387
ALA-SS170813-01-2892422,0.7503,0.0183,0.2314
ALA-SS170815-01-2892435,0.8031,0.0052,0.1917
ALA-SS170815-03-2892473,0.8422,0.0067,0.1511
ALA-SS170815-04-2892440,0.8046,0.007,0.1884
ALA-SS170816-01-2892493,0.8811,0.0064,0.1125
ALA-SS170820-05-2892447,0.7436,0.0116,0.2448
ALA-SS170822-01-2892494,0.8697,0.0092,0.1211
ALA-SS170822-02-2892495,0.8794,0.0146,0.106
ALA-SS170822-03-2892528,0.8457,0.0034,0.1509
ALA-SS171011-02-2892425,0.8004,0.0148,0.1848
ALA-SS171011-03-2892496,0.7542,0.0088,0.237
ALA-SS171018-02-2892517,0.8873,0.0029,0.1098
ALA-SS171025-01-2892506,0.8167,0.0437,0.1396
ALA-SS171104-01-2892432,0.8099,0.0084,0.1817
ALA-SS171105-01-2892472,0.8818,0.0051,0.1131
ALA-SS171106-02-2892479,0.8252,0.0156,0.1592
ALA-SS171106-03-2892404,0.6807,0.0034,0.3159
ALA-VU51-2892500,0.8321,0.0093,0.1586
ALA-VU53-2892376,0.8374,0.0203,0.1423
ALA-VU62-2892417,0.7241,0.0162,0.2597
ALA-KLS0327-2892561,0.1116,0.0536,0.8348
APO-BD304-2892487,0.8659,0.0058,0.1283
APO-BD320-2892516,0.8667,0.0045,0.1288
APO-BD325-2892538,0.879,0.0069,0.1141
APO-BD326-2892550,0.8195,0.0061,0.1744
APO-BD330-2892535,0.8936,0.0035,0.1029
APO-BD331-2892519,0.8925,0.0052,0.1023
APO-BD337-2892483,0.8925,0.0047,0.1028
APO-BD338-2892540,0.8883,0.0023,0.1094
APO-BD339-2892520,0.8611,0.0029,0.136
APO-BD342-2892423,0.8497,0.0091,0.1412
