,0,1,2,3,4
ALA-KLS1663-4013404,0.0093,0.0094,0.0742,0.8916,0.0155
ALA-KLS1664-4013405,0.0093,0.0093,0.0946,0.8812,0.0056
ALA-KLS1682-4013423,0.0045,0.0045,0.0101,0.9748,0.0061
ALA-KLS1690-4013430,0.0145,0.0145,0.0182,0.9257,0.0271
ALA-KLS1140-2892558,0.0117,0.0116,0.0321,0.9158,0.0288
ALA-KLS1161-2892441,0.0049,0.0048,0.1074,0.8798,0.0031
ALA-KLS1162-2892512,0.006,0.0061,0.0136,0.9343,0.04
ALA-KLS1163-2892427,0.0071,0.007,0.0555,0.9231,0.0073
ALA-KLS1165-2892485,0.0118,0.0112,0.2325,0.7375,0.0069
ALA-KLS1166-2892541,0.0066,0.0059,0.0468,0.9328,0.0079
ALA-KLS1167-2892484,0.0188,0.019,0.0127,0.9459,0.0036
ALA-KLS1168-2892413,0.0095,0.0083,0.1081,0.8712,0.0029
ALA-KLS1169-2892448,0.01,0.0096,0.1939,0.7769,0.0096
ALA-KLS1170-2892511,0.0116,0.0118,0.0658,0.8885,0.0223
ALA-KLS1366-3593364,0.0119,0.0119,0.025,0.9476,0.0036
ALA-KLS1373-3593328,0.0254,0.0239,0.0108,0.766,0.1739
ALA-KLS1387-3593387,0.0033,0.0033,0.1799,0.8065,0.007
ALA-KLS1413-3593365,0.0037,0.0034,0.0175,0.9724,0.003
ALA-KLS1415-3593359,0.0122,0.0127,0.0521,0.8963,0.0267
ALA-VU15-2892510,0.0106,0.0099,0.0091,0.9562,0.0142
ALA-VU20-2892394,0.0041,0.0039,0.0274,0.9609,0.0037
ALA-VU21-2892380,0.0075,0.0079,0.0884,0.8928,0.0033
ALA-VU33-2892383,0.0172,0.0166,0.0121,0.9231,0.031
ALA-VU37-2892482,0.0077,0.0075,0.1772,0.7895,0.0181
ALA-VU47-2892477,0.0026,0.0027,0.1481,0.8425,0.0041
ALA-VU50-2892527,0.0144,0.015,0.1477,0.8147,0.0083
ALA-KLS0793-2892513,0.0018,0.0019,0.0082,0.9823,0.0058
ALA-KLS0796-2892514,0.0084,0.0087,0.059,0.9102,0.0137
ALA-KLS0797-2892471,0.0089,0.0091,0.014,0.9585,0.0095
ALA-KLS0857-2892463,0.0139,0.0132,0.0105,0.9556,0.0068
ALA-KLS0871-2892523,0.0191,0.0189,0.0313,0.9212,0.0095
ALA-KLS0872-2892526,0.0035,0.0034,0.0109,0.9789,0.0033
ALA-KLS1444-3593398,0.0188,0.0185,0.0174,0.89,0.0553
ALA-KLS1448-3593341,0.0158,0.0176,0.0098,0.9535,0.0033
ALA-KLS1452-3593342,0.0037,0.0036,0.1085,0.8746,0.0096
ALA-KLS1467-3593390,0.0126,0.0122,0.056,0.9056,0.0136
ALA-KLS1474-3593384,0.012,0.0121,0.0421,0.926,0.0078
ALA-KLS1479-3593389,0.0083,0.0085,0.0356,0.9353,0.0123
ALA-KLS1492-3593391,0.0024,0.0023,0.026,0.9631,0.0062
APO-KLS1002-2562146,0.0111,0.0107,0.0313,0.9418,0.0051
ALA-MAGNT-R36654-2583996,0.0019,0.0016,0.0663,0.3106,0.6196
ALA-R29880-2892521,0.0018,0.0017,0.0335,0.3095,0.6535
ALA-R36967-2892426,0.0332,0.0337,0.1782,0.2382,0.5167
ALA-R36974-2892437,0.0323,0.0315,0.1106,0.0202,0.8053
ALA-R37003-2892459,0.0208,0.0195,0.0695,0.2652,0.625
ALA-R37010-2892460,0.0237,0.0258,0.0352,0.1435,0.7718
ALA-R37025-2892461,0.0148,0.0152,0.0707,0.1094,0.79
ALA-R37027-2892458,0.0173,0.017,0.0917,0.3378,0.5362
ALA-R37032-2892401,0.0003,0.0003,0.1478,0.1867,0.6649
ALA-R37034-2892486,0.0037,0.0039,0.1462,0.1234,0.7228
ALA-R37101-2892544,0.0053,0.0053,0.0159,0.4047,0.5688
ALA-R37113-2892490,0.1158,0.0844,0.0331,0.0981,0.6686
ALA-R37116-2892470,0.0025,0.0025,0.1703,0.1375,0.6873
ALA-R37122-2892464,0.0552,0.0532,0.0771,0.2385,0.576
ALA-R37128-2892424,0.0025,0.0025,0.1924,0.0717,0.7309
ALA-R37140-2892462,0.0054,0.0055,0.2999,0.0311,0.658
ALA-VU121-2562122,0.0086,0.0082,0.7771,0.1877,0.0184
ALA-VU130-2562201,0.0293,0.0287,0.2997,0.5818,0.0605
ALA-VU132-2562114,0.0033,0.0031,0.3597,0.5943,0.0396
ALA-NC_2019_217-2117818,0.0,0.0,0.0022,0.0022,0.9956
ALA-NC_2019_247-2117816,0.0,0.0,0.0023,0.0029,0.9948
ALA-NC_Jan2019_208-2562133,0.0,0.0,0.0022,0.0023,0.9955
ALA-NC_Jan2019_213-2892489,0.0001,0.0002,0.0083,0.0066,0.9848
ALA-NC_Jan2019_217-2892446,0.0001,0.0001,0.0022,0.0026,0.995
ALA-NC_Jan2019_227-2892537,0.0007,0.0007,0.0058,0.0347,0.9581
ALA-NC_Jan2019_247-2892476,0.0,0.0,0.0024,0.0026,0.995
ALA-NC_Jan2019_253-3446972,0.0257,0.0244,0.0024,0.0025,0.945
ALA-NC_Jan2019_269-3446978,0.0275,0.0258,0.0051,0.006,0.9356
ALA-NC_Jan2019_271-2892518,0.0005,0.0005,0.0112,0.0118,0.976
ALA-NC_Jan2019_275-3446981,0.0107,0.0109,0.002,0.0021,0.9743
ALA-NC_Jan2019_282-2562143,0.0,0.0,0.0019,0.0023,0.9958
ALA-Al376-3991427,0.0022,0.0022,0.1567,0.2331,0.6058
ALA-Al377-3991428,0.0037,0.0032,0.1079,0.1313,0.7539
ALA-Al378-3991429,0.0009,0.0009,0.2377,0.1376,0.623
ALA-Al379-3991430,0.0034,0.0034,0.1506,0.2251,0.6174
ALA-KLS0564-R174540-2892378,0.0098,0.0094,0.0098,0.932,0.039
ALA-KLS1526-3593366,0.0087,0.0092,0.088,0.8913,0.0028
ALA-KLS1548-3593373,0.0125,0.012,0.046,0.9249,0.0046
