Species,Region,file,num_seqs_Raw,num_seqs_Trimmed,sum_len_Raw,sum_len_Trimmed
Aipysurus laevis,Ashmore,ALA-AL403-3991434,1368121,1255430,88690813,83773454
Aipysurus laevis,Ashmore,ALA-Al295-3991302,1577949,1423027,89241102,83756097
Aipysurus laevis,Ashmore,ALA-AL436-3991464,1758962,1516811,91640455,83741038
Aipysurus laevis,Ashmore,ALA-AL442-3991469,1476608,1322705,89249077,83564064
Aipysurus laevis,Ashmore,ALA-Al299-3991305,1409703,1286124,88594005,83548069
Aipysurus laevis,Ashmore,ALA-AL431-3991459,1464355,1315439,89089817,83525823
Aipysurus laevis,Ashmore,ALA-Al326-3991417,1604942,1414753,90226495,83496806
Aipysurus laevis,Ashmore,ALA-Al291-3991299,1638930,1438987,89772926,83219870
Aipysurus laevis,Ashmore,ALA-Al278-3991288,1376417,1247463,88004000,82912080
Aipysurus laevis,Ashmore,ALA-AL419-3991450,1711641,1477282,90391659,82744075
Aipysurus laevis,Ashmore,ALA-AL433-3991461,1417206,1279032,87760772,82677225
Aipysurus laevis,Ashmore,ALA-Al305-3991311,1582291,1391179,88651699,82118302
Aipysurus laevis,Ashmore,ALA-Al338-3991423,1516993,1341645,88481047,82106854
Aipysurus laevis,Ashmore,ALA-AL404-3991435,1309487,1196295,86374532,81895015
Aipysurus laevis,Ashmore,ALA-Al296-3991303,1523613,1350768,87938040,81800427
Aipysurus laevis,Ashmore,ALA-Al280-3991290,1498013,1350081,86958447,81640022
Aipysurus laevis,Ashmore,ALA-AL406-3991437,1377072,1249507,86815057,81477966
Aipysurus laevis,Ashmore,ALA-AL411-3991442,1291368,1180574,86197458,81345541
Aipysurus laevis,Ashmore,ALA-Al336-3991422,1529300,1350629,87681006,81264030
Aipysurus laevis,Ashmore,ALA-Al321-3991414,1594329,1393080,87710600,81060685
Aipysurus laevis,Ashmore,ALA-Al293-3991301,1640676,1434769,87516079,81038537
Aipysurus laevis,Ashmore,ALA-Al275-3991286,1490395,1318416,86866618,80895699
Aipysurus laevis,Ashmore,ALA-AL427-3991456,1400330,1264722,86330095,80753100
Aipysurus laevis,Ashmore,ALA-Al282-3991292,1453282,1305868,86069752,80666363
Aipysurus laevis,Ashmore,ALA-AL418-3991449,1530763,1357696,87104926,80615529
Aipysurus laevis,Ashmore,ALA-Al287-3991296,1440874,1299425,85397799,80314692
Aipysurus laevis,Ashmore,ALA-Al304-3991310,1503893,1352556,85570251,80244096
Aipysurus laevis,Ashmore,ALA-Al302-3991308,1508427,1321337,86592346,80188606
Aipysurus laevis,Ashmore,ALA-AL425-3991454,1564449,1364226,87141315,80062205
Aipysurus laevis,Ashmore,ALA-Al279-3991289,1484727,1301699,85714070,79571478
Aipysurus laevis,Ashmore,ALA-Al318-3991315,1535547,1356447,85812164,79527030
Aipysurus laevis,Ashmore,ALA-Al277-3991287,1377899,1241599,85069573,79505073
Aipysurus laevis,Ashmore,ALA-Al274-3991285,1352586,1204239,85763535,79374520
Aipysurus laevis,Ashmore,ALA-AL441-3991468,1724463,1486739,87069688,79215029
Aipysurus laevis,Ashmore,ALA-Al329-3991419,1504874,1316740,85453863,78981534
Aipysurus laevis,Ashmore,ALA-AL405-3991436,1502182,1315177,85572321,78918335
Aipysurus laevis,Ashmore,ALA-Al327-3991418,1541208,1341584,85581547,78902794
Aipysurus laevis,Ashmore,ALA-AL435-3991463,1580264,1362169,85644076,78444768
Aipysurus laevis,Ashmore,ALA-Al283-3991293,1343630,1208227,83351406,78224194
Aipysurus laevis,Ashmore,ALA-AL423-3991453,1506733,1317070,84913272,78182383
Aipysurus laevis,Ashmore,ALA-Al288-3991297,1422535,1284692,82545616,77398140
Aipysurus laevis,Ashmore,ALA-Al325-3991416,1708329,1384035,89645341,76507031
Aipysurus laevis,Ashmore,ALA-AL439-3991466,1659793,1399856,84456391,76305363
Aipysurus laevis,Ashmore,ALA-AL437-3991465,1797491,1466690,86767628,76081347
Aipysurus laevis,Ashmore,ALA-Al300-3991306,1622763,1349481,80197080,71715126
Aipysurus laevis,Ashmore,ALA-AL416-3991447,1171213,1081327,75379716,71054322
Aipysurus laevis,Ashmore,ALA-AL434-3991462,1168041,1038514,68471622,63929051
Aipysurus laevis,Ashmore,ALA-AL440-3991467,1537479,1248756,71910794,62448178
Aipysurus laevis,Ashmore Reef,ALA-Al4-2562181,1366188,1146264,188533944,89055483
Aipysurus laevis,Broome,ALA-KLS1661-4013402,2107411,1963169,159676418,151659907
Aipysurus laevis,Broome,ALA-KLS1682-4013423,2151878,1946589,160616135,147277439
Aipysurus laevis,Broome,ALA-KLS1690-4013430,2014498,1864811,155691552,146190184
Aipysurus laevis,Broome,ALA-KLS1664-4013405,2056689,1904032,154915199,146181199
Aipysurus laevis,Broome,ALA-KLS1663-4013404,1964428,1762678,155256286,139614089
Aipysurus laevis,Broome,ALA-KLS1168-2892413,1598087,1427030,220536006,116193911
Aipysurus laevis,Broome,ALA-KLS1163-2892427,1474455,1310735,203474790,108955575
Aipysurus laevis,Broome,ALA-KLS1121-2892381,1484952,1327178,204923376,108407655
Aipysurus laevis,Broome,ALA-KLS1162-2892512,1517706,1335482,209443428,107499873
Aipysurus laevis,Broome,ALA-KLS1165-2892485,1403104,1269899,193628352,104637300
Aipysurus laevis,Broome,ALA-KLS1140-2892558,1336014,1195507,184369932,103134168
Aipysurus laevis,Broome,ALA-KLS1167-2892579,1250080,1149156,172511040,101930018
Aipysurus laevis,Broome,ALA-KLS1170-2892511,1399095,1242013,193075110,100816143
Aipysurus laevis,Broome,ALA-KLS1161-2892441,1360761,1226134,187785018,99328701
Aipysurus laevis,Broome,ALA-KLS1165-2894771,1158478,1086165,159869964,99020978
Aipysurus laevis,Broome,ALA-KLS1169-2892448,1414967,1255608,195265446,98448171
Aipysurus laevis,Broome,ALA-KLS1167-2892484,1321949,1185498,182428962,98107760
