Species,Region,Sample,reads_raw,reads_sum_len_raw,reads_qc,reads_sum_len_qc,reads_ipyrad,refseq_mapped_reads,refseq_unmapped_reads,clusters_total,clusters_hidepth,hetero_est,error_est,reads_consens,loci_in_assembly
Hydrophis stokesii,Pilbara,HST-KLS1528-3593321,2212821,180102016,2073336,173147033,1732796,1265766,467030,118767,47469,0.001941,0.00126,47080,43258
Hydrophis stokesii,Pilbara,HST-KLS1541-3593313,2204755,162621142,2012501,154421546,1586280,1080067,506213,95586,38304,0.001854,0.001271,37993,35415
Hydrophis stokesii,Pilbara,HST-KLS1544-3593344,2181050,177675405,2043848,170481497,1730582,1230926,499656,111820,44876,0.001863,0.001091,44537,41314
Hydrophis stokesii,Pilbara,HST-KLS1556-3593324,2195597,178973973,2049260,171426093,1736655,1180132,556523,107605,43024,0.001861,0.001118,42689,39732
Hydrophis stokesii,Broome,HST-KLS1662-4013403,1806498,140413106,1666723,133861259,1365591,1038322,327269,91450,34593,0.001867,0.001348,34323,31944
Hydrophis stokesii,Broome,HST-KLS1665-4013406,2106656,158980849,1923536,150015920,1555289,921802,633487,73667,30217,0.001905,0.001332,29949,27766
Hydrophis stokesii,Broome,HST-KLS1666-4013407,2058011,159358897,1900259,151874308,1552578,1261089,291489,83917,34426,0.001936,0.001199,34147,31711
Hydrophis stokesii,Broome,HST-KLS1667-4013408,2096869,159870014,1947111,152519072,1598346,1225454,372892,79595,33329,0.001971,0.001178,33036,30670
Hydrophis stokesii,Broome,HST-KLS1668-4013409,2156914,166579279,1981713,157881268,1626229,1198512,427717,75764,33957,0.001924,0.001334,33713,31222
Hydrophis stokesii,Broome,HST-KLS1669-4013410,2029807,160412296,1887888,153646442,1571910,1139370,432540,104119,38754,0.001883,0.001218,38432,35792
Hydrophis stokesii,Broome,HST-KLS1670-4013411,2073775,159433590,1906556,149540335,1574087,828238,745849,71712,27561,0.001753,0.001169,27336,25339
Hydrophis stokesii,Broome,HST-KLS1671-4013412,2084350,159813222,1923973,151758016,1569007,1089980,479027,78530,34087,0.001785,0.001386,33851,31252
Hydrophis stokesii,Broome,HST-KLS1673-4013414,2184359,164763126,2008000,155884761,1631438,1015242,616196,75793,31477,0.001922,0.001351,31211,28980
Hydrophis stokesii,Broome,HST-KLS1674-4013415,2080886,156407262,1910581,148611022,1550815,1200355,350460,73909,33988,0.001856,0.001391,33740,31178
Hydrophis stokesii,Broome,HST-KLS1675-4013416,2158719,160501297,1988813,151276117,1608272,980249,628023,77295,30062,0.001764,0.001354,29833,27732
Hydrophis stokesii,Broome,HST-KLS1676-4013417,2090071,173356745,1955050,165078558,1678309,1107019,571290,106962,36325,0.001682,0.00106,35879,33871
Hydrophis stokesii,Broome,HST-KLS1677-4013418,1987293,157138701,1852569,150228434,1536371,1110115,426256,87198,34595,0.002392,0.001259,34336,30555
Hydrophis stokesii,Broome,HST-KLS1678-4013419,2064220,162195807,1913250,154881625,1586742,1195601,391141,92200,36094,0.001792,0.001155,35806,33376
Hydrophis stokesii,Broome,HST-KLS1679-4013420,2052158,154002165,1887635,146338254,1533530,1144124,389406,75418,33487,0.002389,0.001278,33213,29486
Hydrophis stokesii,Broome,HST-KLS1680-4013421,2168732,159126768,1949922,147480353,1546232,780717,765515,67624,23341,0.001994,0.001305,23145,21209
Hydrophis stokesii,Broome,HST-KLS1681-4013422,2102749,151233717,1918707,143189579,1513818,1189943,323875,67100,31462,0.00187,0.00135,31239,28644
Hydrophis stokesii,Broome,HST-KLS1683-4013424,2158150,173362115,2008529,165034351,1689013,1210701,478312,97698,35314,0.001878,0.001134,34866,32803
Hydrophis stokesii,Broome,HST-KLS1684-4013425,2102796,151149498,1935626,143431988,1520479,1135919,384560,83439,30365,0.001764,0.001194,30047,28150
Hydrophis stokesii,Broome,HST-KLS1685-4013426,2018629,149383831,1846398,141518677,1487736,1151628,336108,74912,31948,0.002037,0.001322,31686,29400
Hydrophis stokesii,Broome,HST-KLS1686-4013427,2198629,164455058,2021698,156360765,1640328,697310,943018,73223,26082,0.001811,0.001126,25850,24020
Hydrophis stokesii,Broome,HST-KLS1688-4013428,2037578,146061337,1829830,136507069,1443370,867870,575500,51556,27476,0.00168,0.001531,27315,24815
Hydrophis stokesii,Broome,HST-KLS1689-4013429,2090629,156323594,1909215,147381392,1546005,985055,560950,70942,30521,0.001873,0.001332,30288,27950
Hydrophis stokesii,Broome,HST-KLS1691-4013431,2041014,149956593,1868636,142215950,1496348,1153659,342689,73566,32174,0.00173,0.001353,31923,29544
Hydrophis stokesii,Weipa,HST-MW04488-2562113,1368516,188855208,1201118,90609615,946753,697309,249444,84722,24215,0.001466,0.00233,23962,22375
Hydrophis stokesii,Pilbara,HST-SS170814-01-2562208,1533043,211559934,1351979,108539202,1111330,873170,238160,63059,29221,0.0014,0.002683,29017,25900
Hydrophis stokesii,Eighty Mile Beach,HST-SS170820-02-2892469,1419016,195824208,1272831,103116058,1055817,792749,263068,83939,27498,0.00171,0.002295,27133,25407
Hydrophis stokesii,Heywood Shoal,HST-VU116-2892391,1311241,180951258,1212240,103164165,1040268,756029,284239,96680,32216,0.001447,0.002103,32016,30321
Hydrophis stokesii,Heywood Shoal,HST-VU127-2562116,1485858,205048404,1252409,94067973,978524,685926,292598,63952,24004,0.001572,0.002466,23756,22287
Hydrophis stokesii,Heywood Shoal,HST-VU135-2892457,1287386,177659268,1133671,95228371,966451,454233,512218,73816,21994,0.001157,0.002467,21835,20796
Hydrophis stokesii,Heywood Shoal,HST-VU141-2562238,1139014,157183932,1011696,81283933,835180,589680,245500,75750,23187,0.001536,0.002654,22937,21660
Hydrophis stokesii,Heywood Shoal,HST-VU143-2892418,1423609,196458042,1230784,98492082,1009781,730328,279453,85024,28616,0.001369,0.002573,28401,26893
Hydrophis stokesii,Dampier Peninsula,HST-VU38-2892414,1436988,198304344,1283826,105582432,1073815,822352,251463,84929,30326,0.001536,0.002775,30073,28414
