file	format	type	num_seqs	sum_len	min_len	avg_len	max_len
ALA-Al003-3991431.FASTQ.gz	FASTQ	DNA	1528097	95020155	15	62.2	126
ALA-Al272-3991284.FASTQ.gz	FASTQ	DNA	1500452	95372494	15	63.6	126
ALA-Al274-3991285.FASTQ.gz	FASTQ	DNA	1352586	85763535	15	63.4	124
ALA-Al275-3991286.FASTQ.gz	FASTQ	DNA	1490395	86866618	15	58.3	124
ALA-Al277-3991287.FASTQ.gz	FASTQ	DNA	1377899	85069573	15	61.7	124
ALA-Al278-3991288.FASTQ.gz	FASTQ	DNA	1376417	88004000	15	63.9	124
ALA-Al279-3991289.FASTQ.gz	FASTQ	DNA	1484727	85714070	15	57.7	124
ALA-Al280-3991290.FASTQ.gz	FASTQ	DNA	1498013	86958447	15	58.0	124
ALA-Al281-3991291.FASTQ.gz	FASTQ	DNA	1510134	90544087	15	60.0	125
ALA-Al282-3991292.FASTQ.gz	FASTQ	DNA	1453282	86069752	15	59.2	125
ALA-Al283-3991293.FASTQ.gz	FASTQ	DNA	1343630	83351406	15	62.0	126
ALA-Al285-3991294.FASTQ.gz	FASTQ	DNA	1481820	89587830	15	60.5	124
ALA-Al286-3991295.FASTQ.gz	FASTQ	DNA	1618814	92682838	15	57.3	124
ALA-Al287-3991296.FASTQ.gz	FASTQ	DNA	1440874	85397799	15	59.3	126
ALA-Al288-3991297.FASTQ.gz	FASTQ	DNA	1422535	82545616	15	58.0	124
ALA-Al290-3991298.FASTQ.gz	FASTQ	DNA	1492293	93138410	15	62.4	124
ALA-Al291-3991299.FASTQ.gz	FASTQ	DNA	1638930	89772926	15	54.8	125
ALA-Al292-3991300.FASTQ.gz	FASTQ	DNA	1582358	94794913	15	59.9	124
ALA-Al293-3991301.FASTQ.gz	FASTQ	DNA	1640676	87516079	15	53.3	125
ALA-Al295-3991302.FASTQ.gz	FASTQ	DNA	1577949	89241102	15	56.6	124
ALA-Al296-3991303.FASTQ.gz	FASTQ	DNA	1523613	87938040	15	57.7	124
ALA-Al297-3991304.FASTQ.gz	FASTQ	DNA	1635012	92412405	15	56.5	126
ALA-Al299-3991305.FASTQ.gz	FASTQ	DNA	1409703	88594005	15	62.8	126
ALA-Al300-3991306.FASTQ.gz	FASTQ	DNA	1622763	80197080	15	49.4	124
ALA-Al301-3991307.FASTQ.gz	FASTQ	DNA	1439250	90785880	15	63.1	124
ALA-Al302-3991308.FASTQ.gz	FASTQ	DNA	1508427	86592346	15	57.4	125
ALA-Al303-3991309.FASTQ.gz	FASTQ	DNA	1526385	92658553	15	60.7	126
ALA-Al304-3991310.FASTQ.gz	FASTQ	DNA	1503893	85570251	15	56.9	126
ALA-Al305-3991311.FASTQ.gz	FASTQ	DNA	1582291	88651699	15	56.0	128
ALA-Al306-3991312.FASTQ.gz	FASTQ	DNA	1412715	90488118	15	64.1	124
ALA-Al307-3991313.FASTQ.gz	FASTQ	DNA	1515198	91353714	15	60.3	124
ALA-Al308-3991314.FASTQ.gz	FASTQ	DNA	1458238	92316139	15	63.3	126
ALA-Al318-3991315.FASTQ.gz	FASTQ	DNA	1535547	85812164	15	55.9	124
ALA-Al319-3991316.FASTQ.gz	FASTQ	DNA	1586983	94131594	15	59.3	128
ALA-Al320-3991317.FASTQ.gz	FASTQ	DNA	1566286	92978811	15	59.4	126
ALA-Al321-3991414.FASTQ.gz	FASTQ	DNA	1594329	87710600	15	55.0	124
ALA-Al324-3991415.FASTQ.gz	FASTQ	DNA	1392742	91467839	15	65.7	124
ALA-Al325-3991416.FASTQ.gz	FASTQ	DNA	1708329	89645341	15	52.5	124
