population,Coastal_WA,Offshore_WA,Gulf_of_Carpentaria
Coastal_WA,NA,0.09947934699692214,0.16877137643003495
Offshore_WA,0.007467515122304667,NA,0.1990041356137722
Gulf_of_Carpentaria,0.01128451451578899,0.016091753171816523,NA
