population,Shark_Bay,Coastal_WA,Gulf_of_Carpentaria,New_Caledonia
Shark_Bay,NA,0.04365939214308679,0.08668940290645259,0.25798706538214294
Coastal_WA,0.0060509684035438644,NA,0.032769608513289604,0.18650460784816966
Gulf_of_Carpentaria,0.010435232816423877,0.004139389821556379,NA,0.17118955462813584
New_Caledonia,0.024295186455157432,0.01823460399288081,0.01716042647385561,NA
