p1,Broome,Exmouth_Gulf,Gulf_of_Carpentaria,Heywood_Shoal,North_Kimberley,North_QLD,Pilbara
Ashmore,-0.07478048897005171,0.032437172268938684,0.10188516892413679,0.11089089895727004,0.04451692929664171,0.005212019818544495,0.03557010987125284
Broome,,0.0021892612495360425,0.00824284898105557,0.004546826605762837,-0.1363149428473766,-0.0493060458399784,3.0850158306240563e-4
Exmouth_Gulf,,,0.08448866509322817,0.08876433772994802,0.05247335226728362,0.057300273323971786,0.0037257953041537825
Gulf_of_Carpentaria,,,,0.14485726049733633,-0.00826072196446759,-0.020017996306021316,0.0960937068361518
Heywood_Shoal,,,,,0.10497079508880672,0.0924774856928781,0.10333094035788232
North_Kimberley,,,,,,-0.12173657964212378,0.06367509754354375
North_QLD,,,,,,,0.0685821133946171
