population,Shark_Bay,Coastal_WA,Offshore_WA,Gulf_of_Carpentaria,New_Caledonia
Shark_Bay,NA,0.009268590139394059,0.05881831433175271,0.09662248621736501,0.22861945799174038
Coastal_WA,0.0015781153028499757,NA,0.038815600290969934,0.08749342554567328,0.1867760449805331
Offshore_WA,0.00335557203646949,0.0017269768278433035,NA,0.10494590779939673,0.20143593796615852
Gulf_of_Carpentaria,0.0064569665001663135,0.00500339419794678,0.005523399193183568,NA,0.14100895690510887
New_Caledonia,0.010515366361000814,0.009149381862251943,0.009550010619036195,0.007286702751235247,NA
