p1,Exmouth_Gulf,Fraser_Island,Gulf_of_Carpentaria,New_Caledonia,Pilbara,Shark_Bay,Weipa
Broome,-0.0019057157694182408,0.0029415267591787145,0.023808515214329067,0.17029546082703212,0.007733788904607773,0.012613475758390695,0.04521519885336773
Exmouth_Gulf,,-3.0042858387091184e-4,0.017582048593457036,0.1741560392564827,0.005855820619487503,0.010177998084230236,0.03674465217724704
Fraser_Island,,,0.015458776923432952,0.20585336115076497,0.006806053226456675,0.005322951032994439,0.048134279618582985
Gulf_of_Carpentaria,,,,0.14565753981248422,0.02687638351085195,0.01640484752847844,-0.0012881361053336334
New_Caledonia,,,,,0.18438648893516793,0.12236218014068034,0.2508928567665894
Pilbara,,,,,,0.00554651823411471,0.020348750688347586
Shark_Bay,,,,,,,-0.018790438360801652
