file	format	type	num_seqs	sum_len	min_len	avg_len	max_len
ALA-Al4-2562181.fastq.gz	FASTQ	DNA	1146264	89055483	25	77.7	123
ALA-AL426-3991455.fastq.gz	FASTQ	DNA	1305831	85538931	25	65.5	128
ALA-AL427-3991456.fastq.gz	FASTQ	DNA	1264722	80753100	25	63.9	124
ALA-AL429-3991457.fastq.gz	FASTQ	DNA	1405170	87159884	25	62.0	124
ALA-AL430-3991458.fastq.gz	FASTQ	DNA	1518289	89416690	25	58.9	128
ALA-AL431-3991459.fastq.gz	FASTQ	DNA	1315439	83525823	25	63.5	125
ALA-AL432-3991460.fastq.gz	FASTQ	DNA	1364956	84477492	25	61.9	126
ALA-AL433-3991461.fastq.gz	FASTQ	DNA	1279032	82677225	25	64.6	124
ALA-AL434-3991462.fastq.gz	FASTQ	DNA	1038514	63929051	25	61.6	124
ALA-AL435-3991463.fastq.gz	FASTQ	DNA	1362169	78444768	25	57.6	124
ALA-AL436-3991464.fastq.gz	FASTQ	DNA	1516811	83741038	25	55.2	128
ALA-AL437-3991465.fastq.gz	FASTQ	DNA	1466690	76081347	25	51.9	126
ALA-AL439-3991466.fastq.gz	FASTQ	DNA	1399856	76305363	25	54.5	124
ALA-AL440-3991467.fastq.gz	FASTQ	DNA	1248756	62448178	25	50.0	124
ALA-AL441-3991468.fastq.gz	FASTQ	DNA	1486739	79215029	25	53.3	126
ALA-AL442-3991469.fastq.gz	FASTQ	DNA	1322705	83564064	25	63.2	124
ALA-HybJ01-2892539.fastq.gz	FASTQ	DNA	1292293	105249532	25	81.4	123
ALA-HybJ03-2892503.fastq.gz	FASTQ	DNA	1227385	88687278	25	72.3	123
ALA-KLS0327-2892561.fastq.gz	FASTQ	DNA	1230268	96938209	25	78.8	123
ALA-KLS0339-2571096.fastq.gz	FASTQ	DNA	652427	49982107	25	76.6	123
ALA-KLS0564-R174540-2892378.fastq.gz	FASTQ	DNA	1345591	110789269	25	82.3	123
ALA-KLS0564-R174540-2892568.fastq.gz	FASTQ	DNA	868114	81049862	25	93.4	123
ALA-KLS0793-2892513.fastq.gz	FASTQ	DNA	1365142	108763722	25	79.7	123
ALA-KLS0796-2892514.fastq.gz	FASTQ	DNA	1422644	115249696	25	81.0	123
