,Nreps,lnPK,lnPPK,deltaK,estLnProbMean,estLnProbStdev
2,10,0.0,0.0,0.0,-23822.700000000004,243.08950797780005
3,10,-397.09999999999854,778.3899999999994,2.4346863389459896,-24219.800000000003,319.7085339284302
4,10,381.2900000000009,825.890000000003,3.233642177230449,-23838.510000000002,255.40550089786421
5,10,-444.6000000000022,0.0,0.0,-24283.110000000004,403.9326743956775
