,0
0,0.06125796088339102
1,0.03609556213882379
2,0.0352535325204569
3,0.03081956239953106
4,0.03040325015643729
5,0.028249466130310492
6,0.027791473292753242
7,0.027339450687978422
8,0.026858868177507628
9,0.026081922852813143
10,0.025178644418957282
11,0.025170024745830268
12,0.024558662401944605
13,0.024113815194400413
14,0.024008521152366714
15,0.023455007545322367
16,0.02293299250209972
17,0.02252054713135671
18,0.02224155411657599
19,0.021393984522152392
20,0.021098584472486144
21,0.02070801861060339
22,0.019875332608098397
23,0.01974218776648383
24,0.019444606090771054
25,0.019219299970948553
26,0.018808731625017314
27,0.018609346481851925
28,0.018175421210424376
29,0.017749062516503093
30,0.017284731175507606
31,0.01691531710018317
32,0.016443513090953543
33,0.01591441380274343
34,0.015266758051439684
35,0.014841649474976229
36,0.014741301214581063
37,0.014490391250505984
38,0.013803860013040821
39,0.013706121353842011
40,0.01348861530013412
41,0.012946227876989064
42,0.012705965071313621
43,0.01215855245323812
44,0.011895379264566734
45,0.011496656377567808
46,0.011157671025727069
47,0.0015874817784924204
48,2.3656975003709332e-32
