,0
0,0.020498132453840134
1,0.01938633393910943
2,0.018651064155201576
3,0.01686462837332885
4,0.016665213266276895
5,0.016353087751125664
6,0.016265355571865873
7,0.01603434236074028
8,0.015900325146082778
9,0.01572812421202079
10,0.015619591809407573
11,0.015361210652254433
12,0.0152043147526346
13,0.015048580428466832
14,0.014809299312813601
15,0.014707104033541207
16,0.014639170312699809
17,0.014486251317902767
18,0.014372560628462018
19,0.014304366014574901
20,0.014174597112648537
21,0.0139742016719386
22,0.013859379854896912
23,0.013751116252873855
24,0.013676136918968325
25,0.013565215980145756
26,0.013372029223817005
27,0.013293310039497347
28,0.01316563315389902
29,0.013074311555858118
30,0.012976428729626451
31,0.01287517191078371
32,0.012840053210116376
33,0.012675322982377233
34,0.012643110646477964
35,0.012495171061001698
36,0.012444804428113701
37,0.012350520273508928
38,0.012235095298937734
39,0.012143042262368618
40,0.01212730514916152
41,0.012089007230949673
42,0.01199444070903818
43,0.01190417639023255
44,0.0117620493573467
45,0.011740835196180568
46,0.01161325946287349
47,0.011494119094956949
48,0.011452913403691154
49,0.011399475455803812
50,0.01125434105538488
51,0.011172716430403865
52,0.011042833856616694
53,0.010987212318053264
54,0.01092825821982342
55,0.010753034447055967
56,0.01068425814251041
57,0.010610589994504694
58,0.010550918441910629
59,0.01050578561341596
60,0.010444438741181058
61,0.010345613607652224
62,0.010277890295192623
63,0.010166043013814052
64,0.01007707105725935
65,0.009981064019180376
66,0.0098613495097712
67,0.009801621789551733
68,0.009709585684697812
69,0.009649596290991427
70,0.00957393996584039
71,0.00951239971829348
72,0.00935416758667968
73,0.0093167058146254
74,0.009241041991843831
75,0.009096595112546312
76,0.008997387686202863
77,0.008901567704682397
78,0.008608701416116703
79,0.008531979963756868
80,2.799178097463026e-32
