,0
0,0.020262528163432943
1,0.019714441292479134
2,0.018277469431172304
3,0.017265606633578283
4,0.016870612807782674
5,0.016391208446966943
6,0.01616094456731775
7,0.01603911313958283
8,0.01580933222637114
9,0.01573199476549261
10,0.015584566427103584
11,0.015512621432187885
12,0.015225067756789981
13,0.015058162063498555
14,0.014949496837254484
15,0.014903664613882912
16,0.01467233450818064
17,0.014613642943564709
18,0.014492518291726405
19,0.014322489573378876
20,0.014189009163107384
21,0.01409282315369275
22,0.01388378852042896
23,0.013798320457137388
24,0.013750044063598607
25,0.013677294900298995
26,0.013570672392614468
27,0.013369411130803508
28,0.013317765651933215
29,0.013039489705272784
30,0.012936215761374886
31,0.01287623826529802
32,0.012833709352698017
33,0.012734009060640527
34,0.01265701014462827
35,0.012546830128092105
36,0.012417478087815034
37,0.01235665016705915
38,0.012260602765243107
39,0.012164205927664309
40,0.012132343968683661
41,0.0119830480065983
42,0.011948054936163329
43,0.01179408688438839
44,0.011763733738047828
45,0.011673777258967231
46,0.011599304601238317
47,0.011479454816818509
48,0.011433791299185073
49,0.011326588707119152
50,0.011275231744113417
51,0.011064683571975696
52,0.010964445300372149
53,0.010903220521986357
54,0.010869214963178142
55,0.010804477650950835
56,0.010705211396276821
57,0.010586355753722972
58,0.010571186345225695
59,0.010482341415121936
60,0.010424031329967552
61,0.010336431303486158
62,0.010229619708210723
63,0.010108752759081591
64,0.010061790328841066
65,0.009996019757806026
66,0.009947045265694888
67,0.009684604255254055
68,0.009655348477130139
69,0.00956889973552273
70,0.00949648433795238
71,0.009411198389469126
72,0.009291850441421461
73,0.009145676935850824
74,0.00905569826511212
75,0.008956100987560927
76,0.008863420506893553
77,0.008809428880931666
78,0.008743397062914722
79,0.00852426366961825
80,5.643372157898697e-32
