,0
0,0.03421441056758996
1,0.018706824357477884
2,0.01761678665143171
3,0.017206759062931072
4,0.016821672081255342
5,0.016652121737105348
6,0.015967667837863516
7,0.015618125559021756
8,0.015402617652587772
9,0.015266017891100736
10,0.015191922014570857
11,0.015028323096595507
12,0.014970241093253744
13,0.014740163631451027
14,0.014481033075604555
15,0.014402320206327378
16,0.014215615755107476
17,0.013918874523954487
18,0.013746911664045309
19,0.013680637696926548
20,0.013468629502063276
21,0.013293149727256193
22,0.01316734274532959
23,0.013084593774675204
24,0.01300627237824231
25,0.012873555498596945
26,0.012720805675906088
27,0.012689588240102818
28,0.012590720061107268
29,0.012468993678078478
30,0.012250748830764406
31,0.012230303882522503
32,0.012114745996130766
33,0.01206903103894537
34,0.011850465353929257
35,0.011714415051545357
36,0.011668510132367093
37,0.011576572160256843
38,0.011473608241266413
39,0.011394494782148054
40,0.011328944768316501
41,0.011202833199237063
42,0.011085585730402239
43,0.010979155159642954
44,0.010900609413012378
45,0.010896616768322692
46,0.010713018082982403
47,0.010540691621570617
48,0.010416992114930392
49,0.010349649825362524
50,0.010331812707357278
51,0.010282733074052239
52,0.010152610734168692
53,0.010085536250285828
54,0.009934178968115595
55,0.009868681964407388
56,0.009798161612201149
57,0.009674238892607696
58,0.009648519759803803
59,0.0095809369941751
60,0.009472154213615682
61,0.00945410347394278
62,0.00925899552352488
63,0.00921301258589603
64,0.009147528840050163
65,0.00905294119210653
66,0.009003568929144766
67,0.00896686279194207
68,0.008738508801330475
69,0.008658850534849525
70,0.008573606522224912
71,0.008477424469907372
72,0.008426828325216735
73,0.008411923800956008
74,0.008319960790673169
75,0.008281604063576989
76,0.008010214945442719
77,0.00799062677350171
78,0.007977431813300264
79,0.00784874264563922
80,0.007765436781084084
81,0.007610270136763711
82,0.00754421587289381
83,0.007373258237369225
84,0.0071676813475695395
85,0.005927146039086718
86,1.94314607077621e-32
