Species,Region,Sample,reads_raw,reads_sum_len_raw,reads_qc,reads_sum_len_qc,reads_ipyrad,refseq_mapped_reads,refseq_unmapped_reads,clusters_total,clusters_hidepth,hetero_est,error_est,reads_consens,loci_in_assembly
Aipysurus laevis,Ashmore,ALA-Al274-3991285,1352586,85763535,1204239,79374520,875889,417287,458602,52515,16248,0.002248,0.001522,16115,14796
Aipysurus laevis,Ashmore,ALA-Al275-3991286,1490395,86866618,1318416,80895699,899570,618248,281322,59316,19506,0.002323,0.001992,19306,17817
Aipysurus laevis,Ashmore,ALA-Al277-3991287,1377899,85069573,1241599,79505073,876582,497662,378920,60280,18339,0.002189,0.001793,18133,16807
Aipysurus laevis,Ashmore,ALA-Al278-3991288,1376417,88004000,1247463,82912080,910148,670574,239574,69468,22737,0.002255,0.001674,22496,20948
Aipysurus laevis,Ashmore,ALA-Al279-3991289,1484727,85714070,1301699,79571478,890071,622748,267323,55368,19335,0.002324,0.001889,19124,17629
Aipysurus laevis,Ashmore,ALA-Al280-3991290,1498013,86958447,1350081,81640022,910242,663287,246955,65437,22069,0.002401,0.002131,21845,20397
Aipysurus laevis,Ashmore,ALA-Al281-3991291,1510134,90544087,1360196,85003705,942656,688461,254195,62431,21779,0.00234,0.002323,21544,20081
Aipysurus laevis,Ashmore,ALA-Al282-3991292,1453282,86069752,1305868,80666363,897926,616471,281455,62726,20742,0.002373,0.002092,20520,19063
Aipysurus laevis,Ashmore,ALA-Al283-3991293,1343630,83351406,1208227,78224194,855219,561943,293276,65071,21257,0.002268,0.001934,21052,19619
Aipysurus laevis,Ashmore,ALA-Al285-3991294,1481820,89587830,1333250,84093848,930573,639378,291195,62368,21527,0.002253,0.002078,21265,19951
Aipysurus laevis,Ashmore,ALA-Al286-3991295,1618814,92682838,1425065,85865565,956167,619215,336952,58086,20452,0.002351,0.002393,20235,18803
Aipysurus laevis,Ashmore,ALA-Al287-3991296,1440874,85397799,1299425,80314692,889903,663251,226652,64360,21995,0.002289,0.00219,21778,20349
